cellNum,cellID,Ah_throughput,qdis
1,G1C1,-2.212896532682862e-12,1.0000000000000002
1,G1C1,46.140736327462044,0.9900000000000002
1,G1C1,103.79050790597331,0.9800000000000002
1,G1C1,156.51859970044967,0.9700000000000002
1,G1C1,196.24527615149498,0.9600000000000002
1,G1C1,232.08093097304868,0.9500000000000002
1,G1C1,283.29877510844653,0.9400000000000002
1,G1C1,337.15079759432854,0.9300000000000002
1,G1C1,410.9131304821307,0.9200000000000002
1,G1C1,442.75918698634933,0.9100000000000001
1,G1C1,493.23634870772935,0.9000000000000001
1,G1C1,537.0942729989787,0.8900000000000001
1,G1C1,565.0618678055787,0.8800000000000001
1,G1C1,590.0946195383076,0.8700000000000001
1,G1C1,616.2101027477536,0.8600000000000001
1,G1C1,640.2215673076462,0.8500000000000001
1,G1C1,656.6210695868947,0.8400000000000001
1,G1C1,670.2503232701285,0.8300000000000001
1,G1C1,682.7675553881842,0.8200000000000001
1,G1C1,695.0123421391048,0.81
1,G1C1,705.8486450180669,0.8
2,G1C2,-6.5707439489415265e-12,1.0000000000000002
2,G1C2,46.294933063059666,0.9900000000000002
2,G1C2,94.9997045407513,0.9800000000000002
2,G1C2,121.7967294511724,0.9700000000000002
2,G1C2,181.15965024849515,0.9600000000000002
2,G1C2,217.06910653109887,0.9500000000000002
2,G1C2,242.71140228483785,0.9400000000000002
2,G1C2,295.57888694550434,0.9300000000000002
2,G1C2,383.62713893993697,0.9200000000000002
2,G1C2,416.2956350212477,0.9100000000000001
2,G1C2,444.31270097779424,0.9000000000000001
2,G1C2,497.5896778226954,0.8900000000000001
2,G1C2,535.6985733358541,0.8800000000000001
2,G1C2,567.8820954292759,0.8700000000000001
2,G1C2,600.1802763794299,0.8600000000000001
2,G1C2,632.8146216247475,0.8500000000000001
2,G1C2,662.0140640784996,0.8400000000000001
2,G1C2,687.9881417136548,0.8300000000000001
2,G1C2,717.7112104682882,0.8200000000000001
2,G1C2,735.2899953614758,0.81
2,G1C2,751.7709536057461,0.8
3,G1C3,-2.7675639557855902e-12,1.0000000000000002
3,G1C3,39.93571868814004,0.9900000000000002
3,G1C3,82.61577904147804,0.9800000000000002
3,G1C3,112.19477850264677,0.9700000000000002
