cellNum,numRPTs,t_hrs,t,qdis,cellID,Ah_throughput
2,34,6424.038889,267.668287,0.85404665,G1C2,617.6646494
2,35,6608.309722,275.3462384,0.849366435,G1C2,634.9977118
2,36,6795.180556,283.1325231,0.843408446,G1C2,652.5272062
2,37,6982.338611,290.9307755,0.836978473,G1C2,670.1303408
2,38,7169.886944,298.7452894,0.830069434,G1C2,687.7645103
2,39,7367.028333,306.9595139,0.825479996,G1C2,706.2908271
2,40,7551.532778,314.6471991,0.816676918,G1C2,723.4432048
2,41,7735.590556,322.3162731,0.806919642,G1C2,740.4963863
2,42,7919.924167,329.9968403,0.796235902,G1C2,757.5445719
2,43,8096.3775,337.3490625,0.784653138,G1C2,773.6696566
2,44,8272.118056,344.6715856,0.772069262,G1C2,789.6876268
2,45,8456.564167,352.3568403,0.764267984,G1C2,806.3428979
2,46,8640.791944,360.0329977,0.765671056,G1C2,822.9986106
2,47,8763.742222,365.1559259,0.762832654,G1C2,833.5297093
2,48,8946.058611,372.7524421,0.757698058,G1C2,849.5280581
2,49,9130.361389,380.4317245,0.738284905,G1C2,865.4537418
2,50,9362.974444,390.1239352,0.713182851,G1C2,885.7712138
2,51,9543.107778,397.6294907,0.694727143,G1C2,901.0211845
2,52,9697.8025,404.0751042,0.674593472,G1C2,913.6586604
2,53,9903.405556,412.6418981,0.648573315,G1C2,930.4666364
2,54,10084.79778,420.1999074,0.627325036,G1C2,944.9326289
2,55,10265.56222,427.7317593,0.604893499,G1C2,958.9744674
2,56,10446.00111,435.2500463,0.58609612,G1C2,972.6770064
2,57,10626.0725,442.7530208,0.562004128,G1C2,985.9309976
2,58,10807.23167,450.3013194,0.53694525,G1C2,998.8742958
2,59,10986.99278,457.7913657,0.511217784,G1C2,1011.215495
2,60,11166.85028,465.2854282,0.481020672,G1C2,1023.052737
2,61,11344.01944,472.6674769,0.444938351,G1C2,1034.386183
2,62,11523.47278,480.1446991,0.394174923,G1C2,1045.422781
3,1,0,0,1,G1C3,0
3,2,187.3286111,7.805358796,0.998334717,G1C3,18.088583
3,3,375.49,15.64541667,0.991464803,G1C3,36.25696039
3,4,564.6325,23.52635417,0.985037307,G1C3,54.51479025
3,5,751.3902778,31.30792824,0.98255181,G1C3,72.63190258
3,6,952.685,39.69520833,0.976735747,G1C3,92.35091253
3,7,1158.278333,48.26159722,0.969905501,G1C3,112.4618362
3,8,1345.469444,56.06122685,0.963254411,G1C3,130.5337086
3,9,1575.636389,65.6515162,0.962493848,G1C3,153.2648541
3,10,1763.449722,73.47707176,0.958964442,G1C3,171.3271845
3,11,1950.438333,81.26826389,0.951507951,G1C3,189.2960488
3,12,2137.633889,89.0680787,0.948281776,G1C3,207.3388726
3,13,2324.805556,96.86689815,0.941580876,G1C3,225.3256752
3,14,2526.226111,105.2594213,0.933925544,G1C3,244.7374334
3,15,2729.598889,113.733287,0.930609891,G1C3,264.4392897
3,16,2960.504444,123.3543519,0.925290927,G1C3,286.8685711
3,17,3145.977222,131.0823843,0.922262797,G1C3,304.5806691
3,18,3351.175,139.6322917,0.920662634,G1C3,324.0604638
3,19,3536.122778,147.3384491,0.916104431,G1C3,341.6898129
3,20,3762.576111,156.7740046,0.909845054,G1C3,363.6090124
3,21,3959.407222,164.9753009,0.915188972,G1C3,382.44849
3,22,4145.441667,172.7267361,0.909076837,G1C3,400.0427695
3,23,4333.002222,180.5417593,0.902941834,G1C3,417.7479595
3,24,4518.130833,188.2554514,0.897305224,G1C3,435.11353
3,25,4703.536667,195.9806944,0.89303852,G1C3,452.5404555
3,26,4858.016944,202.4173727,0.889733406,G1C3,465.7966526
3,27,5038.911389,209.9546412,0.884677805,G1C3,482.492491
3,28,5225.104722,217.7126968,0.891896484,G1C3,499.8809393
3,29,5411.829722,225.4929051,0.884109123,G1C3,517.2582878
3,30,5598.145,233.2560417,0.876868373,G1C3,534.6089251
3,31,5854.851944,243.9521644,0.86949102,G1C3,559.1107943
3,32,6041.952778,251.7480324,0.864881815,G1C3,576.4054646
3,33,6228.630556,259.5262731,0.860369245,G1C3,593.5559438
3,34,6414.860556,267.2858565,0.85528362,G1C3,610.7894761
3,35,6599.4525,274.9771875,0.851938837,G1C3,627.7397507
3,36,6785.825278,282.7427199,0.847275746,G1C3,644.8470185
3,37,6974.111389,290.5879745,0.842061471,G1C3,662.1259698
3,38,7161.925278,298.4135532,0.837120303,G1C3,679.3070778
3,39,7359.371667,306.6404861,0.832845347,G1C3,697.4534349
3,40,7543.240833,314.3017014,0.827391073,G1C3,714.1820104
3,41,7726.436667,321.9348611,0.822415008,G1C3,730.9004773
3,42,7910.983333,329.6243056,0.817117022,G1C3,747.6548916
3,43,8086.386389,336.9327662,0.812290187,G1C3,763.4922639
3,44,8261.727778,344.2386574,0.806494007,G1C3,779.3358109
3,45,8446.857222,351.9523843,0.800389627,G1C3,795.933038
3,46,8631.486389,359.6452662,0.793360641,G1C3,812.4843394
3,47,8753.822778,364.7426157,0.787132084,G1C3,822.9305127
3,48,8936.850833,372.3687847,0.779446629,G1C3,839.1560998
3,49,9120.267778,380.0111574,0.772849921,G1C3,855.3276862
3,50,9353.569722,389.7320718,0.76319625,G1C3,876.0772269
3,51,9534.163056,397.256794,0.751867652,G1C3,891.7054981
3,52,9689.450833,403.7271181,0.741115491,G1C3,904.7628011
3,53,9896.388611,412.3495255,0.730567141,G1C3,922.4971051
3,54,10079.63528,419.9848032,0.726396477,G1C3,938.0094012
3,55,10262.39472,427.5997801,0.713536514,G1C3,953.3091626
3,56,10445.03639,435.2098495,0.703510019,G1C3,968.5226734
3,57,10627.24389,442.8018287,0.690252377,G1C3,983.4970184
3,58,10811.53056,450.4804398,0.672312059,G1C3,998.3765946
