2.273736754432320595e-13,1.254383016234899742e+03,2.065644742561785733e+03,2.965536565583673564e+03,4.600058064597748853e+03,6.158303555695320028e+03,7.937324933300451448e+03,9.968650499246876279e+03,1.220684948897148206e+04,1.433487803511753009e+04,1.665415061611403144e+04
5.684341886080801487e-14,3.238978172563099633e+02,1.226574589514179934e+03,2.245236812616677071e+03,3.511002806051440530e+03,5.413090126876571048e+03,7.288749898198592746e+03,9.440980488977618734e+03,1.187772999799116042e+04,1.416210221093828295e+04,1.666574718811326238e+04
5.684341886080801487e-14,4.619735064110566896e+02,1.447674687015474092e+03,2.216701691984048466e+03,4.928328501354773834e+03,5.761384026401966366e+03,7.806776606277728206e+03,1.003822828931165532e+04,1.243155421563333584e+04,1.464934097208560161e+04,1.744811238112443607e+04
2.842170943040400743e-14,8.897721337019355587e+02,1.867742571833689908e+03,3.316792902520899133e+03,5.350762231330945724e+03,7.477372648184813443e+03,9.637821550374304934e+03,1.161469106053906580e+04,1.390574463198149897e+04,1.631765373607394940e+04,1.859407853058353794e+04
2.842170943040400743e-14,1.022551398454636228e+03,1.832541048981361655e+03,3.367832540059549956e+03,5.474642145941320450e+03,7.615530695954365001e+03,9.884049148963798871e+03,1.186480758075070662e+04,1.438689316047317334e+04,1.675960803023160770e+04,1.921551994226088209e+04
2.842170943040400743e-14,9.234124929158901978e+02,1.799252224475639650e+03,2.783440775381547155e+03,4.748359047292488867e+03,6.751445283399384607e+03,9.141325679692135964e+03,1.134602077967722107e+04,1.364914561674895049e+04,1.613989940651800862e+04,1.851465530228663920e+04
5.684341886080801487e-14,3.539287535055962053e+02,9.316359666747882784e+02,1.782935645375970580e+03,2.806691133647568222e+03,4.159259893406791889e+03,5.735028096893063775e+03,7.400079055034040721e+03,9.160569270092863007e+03,1.121763111772013144e+04,1.352735772304121383e+04
1.421085471520200372e-13,4.543663042344748533e+02,1.151641321935357155e+03,2.176506021605782280e+03,3.260945595051237433e+03,4.606516118593027386e+03,6.458571887593666361e+03,8.164390626873799192e+03,1.010478876007608960e+04,1.244335172942683312e+04,1.505701781127513277e+04
5.684341886080801487e-14,4.311960280137581663e+02,1.147433980736851936e+03,2.219740604371705103e+03,3.162702191765188218e+03,4.533689979276451595e+03,6.175705426486282704e+03,7.859834770387868048e+03,9.726571566157837879e+03,1.200696072736856695e+04,1.442110568864733250e+04
4.440892098500626162e-15,5.703516929135115561e+02,1.050932696611255324e+03,1.945570882102659652e+03,2.877751145907267528e+03,3.691818382622861463e+03,5.035940882938069990e+03,6.410347807043625835e+03,7.868778553006040056e+03,9.409732711630113045e+03,1.060473183773606434e+04
3.330669073875469621e-14,4.385084183598773393e+02,8.948684876220526121e+02,1.701565923721371291e+03,2.669684523174627429e+03,3.507758318703739860e+03,4.647664867639338809e+03,6.145563215903392120e+03,7.758680844474411970e+03,9.401612193453793225e+03,1.065266051283805064e+04
