Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13
-4.794667432982297,-4.66131069622793,-4.594524813130136,-4.545100756636238,-4.432693112115039,-4.153658976536773,-3.7049773571918676
-4.792696172828943,-4.659171518805086,-4.592357183232543,-4.542873359227961,-4.430430471035393,-4.151477746518985,-3.7030315547485455
-4.790669086179422,-4.656983435431149,-4.590139495769743,-4.540602713088221,-4.428130815116735,-4.149250373285336,-3.701034959494283
-4.78858421780617,-4.6547444230889425,-4.587869829993941,-4.538286451627237,-4.425791431413228,-4.146974761243524,-3.698985871096389
-4.786439612481616,-4.6524524587612905,-4.585546265157343,-4.535922208255226,-4.423409606979027,-4.144648814801241,-3.69688258922217
-4.7842333149782,-4.650105519431015,-4.583166880512153,-4.533507616382405,-4.420982628868296,-4.142270438366184,-3.6947234135389326
-4.781963370068356,-4.64770158208094,-4.5807297553105775,-4.5310403094189935,-4.4185077841351905,-4.139837536346048,-3.692506643713986
-4.779627822524511,-4.64523862369389,-4.578232968804824,-4.528517920775207,-4.415982359833877,-4.137348013148525,-3.6902305794146355
-4.777224717119108,-4.642714621252689,-4.575674600247094,-4.525938083861265,-4.41340364301851,-4.134799773181313,-3.6878935203081906
-4.7747520986245755,-4.64012755174016,-4.573052728889596,-4.5232984320873815,-4.410768920743252,-4.132190720852105,-3.685493766061958
-4.772208011813349,-4.637475392139125,-4.570365433984533,-4.520596598863779,-4.408075480062262,-4.1295187605685975,-3.6830296163432448
-4.769590501457864,-4.634756119432411,-4.567610794784112,-4.517830217600673,-4.405320608029701,-4.126781796738483,-3.6804993708193585
-4.7668976123305535,-4.631967710602839,-4.564786890540537,-4.5149969217082795,-4.402501591699728,-4.123977733769461,-3.677901329157607
-4.764127389203851,-4.629108142633232,-4.561891800506015,-4.512094344596818,-4.399615718126504,-4.1211044760692195,-3.675233791025297
-4.76127787685019,-4.626175392506415,-4.55892360393275,-4.509120119676505,-4.396660274364189,-4.118159928045459,-3.672495056089738
-4.758347120042009,-4.623167437205213,-4.555880380072948,-4.50607188035756,-4.39363254746694,-4.115141994105873,-3.6696834240182348
-4.755333163551736,-4.620082253712446,-4.552760208178815,-4.502947260050198,-4.390529824488922,-4.112048578658156,-3.666797194478096
-4.75223405215181,-4.616917819010941,-4.549561167502555,-4.499743892164639,-4.387349392484291,-4.108877586110001,-3.6638346671366295
-4.749047830614662,-4.6136721100835185,-4.546281337296374,-4.496459410111098,-4.384088538507209,-4.105626920869107,-3.6607941416611425
-4.745772543712728,-4.610343103913006,-4.542918796812477,-4.493091447299794,-4.380744549611835,-4.102294487343166,-3.657673917718942
-4.742406236218442,-4.606928777482223,-4.53947162530307,-4.489637637140945,-4.377314712852331,-4.0988781899398745,-3.654472294977336
-4.738946952904236,-4.603427107773995,-4.535937902020359,-4.486095613044769,-4.3737963152828545,-4.095375933066926,-3.651187573103631
-4.735392738542546,-4.599836071771146,-4.532315706209281,-4.482463008421483,-4.370186643957566,-4.091785621132016,-3.6478180517651353
-4.731741637905808,-4.596153646456498,-4.528603031588452,-4.478737456681305,-4.366482985930626,-4.088105158542838,-3.644362030629156
-4.727991695766452,-4.592377808812879,-4.524797573755325,-4.474916591234451,-4.362682628256195,-4.08433244970709,-3.6408178093630017
-4.724140956896914,-4.5885065358231065,-4.520896963390689,-4.4709980454911395,-4.358782857988433,-4.080465399032465,-3.637183687633978
-4.720187466069628,-4.584537804470006,-4.5168988311753235,-4.4669794528615885,-4.354780962181498,-4.076501910926657,-3.6334579651093937
-4.7161292680570295,-4.580469591736405,-4.512800807790021,-4.462858446756016,-4.350674227889552,-4.072439889797362,-3.629638941456556
-4.71196440763155,-4.576299874605122,-4.508600523915564,-4.458632660584639,-4.346459942166756,-4.068277240052277,-3.6257249163427727
-4.707690929565626,-4.572026630058983,-4.504295610232742,-4.454299727757674,-4.342135392067267,-4.064011866099094,-3.62171418943535
-4.70330687863169,-4.567647835080812,-4.499883697422337,-4.4498572816853414,-4.337697864645247,-4.059641672345508,-3.617605060401596
