Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25
-4.750969123482121,-4.702073793484958,-4.699419216924348,-4.689516130805455,-4.681182986318593,-4.677545715042578,-4.670218096008999,-4.641842501856418,-4.635429665724369,-4.61813864394522,-4.607165991317316,-4.594885481065983,-4.564741039150937
-4.749024715983691,-4.7001250810541535,-4.6974393896382844,-4.687527169123149,-4.6791537808667965,-4.675457298407643,-4.668174703170404,-4.639774622790737,-4.633345203872045,-4.61604350035192,-4.605042473272739,-4.592752965496302,-4.562655664301967
-4.747034575889582,-4.698129435529533,-4.695411057249636,-4.685489221065212,-4.67707438263787,-4.673326150095106,-4.6660777380379415,-4.637655414613226,-4.631210557774243,-4.613900117570672,-4.602872058699108,-4.590578834664741,-4.56052935442913
-4.7449963318941,-4.696084674351559,-4.693332070630582,-4.683400178843159,-4.674942755178829,-4.6711496603564155,-4.663925345756281,-4.635482948219943,-4.629023730069108,-4.611706385294613,-4.600652568798995,-4.58836065014291,-4.558359700445953
-4.742907612691551,-4.693988614960696,-4.691200280653304,-4.681257934668499,-4.672756862036684,-4.668925219443017,-4.6617156714700885,-4.633255294506947,-4.626782723394783,-4.609460193216883,-4.598381824774978,-4.5860959735024265,-4.556144293265958
-4.740766046976242,-4.691839074797408,-4.689013538189982,-4.6790603807527456,-4.670514666758445,-4.6666502176063585,-4.659446860324035,-4.630970524370297,-4.62448554038941,-4.607159431030615,-4.596057647829629,-4.5837823663149,-4.553880723802672
-4.738569263442483,-4.689633871302159,-4.686769694112798,-4.676805409307411,-4.668214132891126,-4.66432204509789,-4.65711705746279,-4.628626708706052,-4.622130183691133,-4.604801988428947,-4.593677859165525,-4.581417390151951,-4.551566582969624
-4.736314890784581,-4.687370821915414,-4.684466599293932,-4.674490912544005,-4.665853223981741,-4.661938092169055,-4.65472440803102,-4.626221918410272,-4.6197146559380915,-4.602385755105017,-4.591240279985246,-4.578998606585187,-4.549199461680336
-4.734000557696842,-4.685047744077638,-4.682102104605564,-4.672114782674043,-4.663429903577303,-4.659495749071306,-4.652267057173396,-4.623754224379016,-4.617236959768432,-4.59990862075196,-4.588742731491358,-4.576523577186224,-4.546776950848335
-4.731623892873572,-4.682662455229292,-4.679674060919875,-4.669674911909033,-4.660942135224819,-4.6569924060560846,-4.649743150034586,-4.621221697508338,-4.614695097820295,-4.597368475062916,-4.586183034886445,-4.573989863526675,-4.544296641387146
-4.729182525009082,-4.680212772810843,-4.6771803191090475,-4.667169192460487,-4.658387882471305,-4.654425453374845,-4.64715083175926,-4.618622408694303,-4.612087072731825,-4.594763207731017,-4.5835590113730795,-4.5713950271781565,-4.541756124210296
-4.726674082797676,-4.677696514262758,-4.6746187300452595,-4.664595516539921,-4.655765108863774,-4.651792281279031,-4.6444882474920846,-4.615954428832966,-4.609410887141161,-4.592090708449404,-4.580868482153836,-4.56873662971228,-4.539152990231312
