Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23
-4.771822804032856,-4.701902605565834,-4.661776811782177,-4.631778553991685,-4.583595446775264,-4.541131241900369,-4.503713918862395,-4.362089699397309,-4.0910099069868995,-3.895113504322791,-3.96647781962029
-4.769142680246838,-4.699192044614729,-4.65906911365617,-4.629074825408874,-4.580872912615201,-4.538390101718707,-4.501048363281214,-4.359288325158389,-4.088134574947126,-3.8922281654453514,-3.9635815099817906
-4.766386991735808,-4.696410816114221,-4.656291050117422,-4.6263028585496135,-4.578082462110146,-4.535581452652561,-4.4983157329624905,-4.356415538579866,-4.0851876974730255,-3.889272222625732,-3.960604718891196
-4.763553574760873,-4.693556656698287,-4.653440386941366,-4.623460186686802,-4.575221526264001,-4.532702572736462,-4.495513005546848,-4.353468352390571,-4.0821660188988105,-3.8862423250323466,-3.9575451593101603
-4.760640265583144,-4.69062730300091,-4.650514889903441,-4.620544343093338,-4.572287536080665,-4.529750740004949,-4.492637158674914,-4.35044377931933,-4.0790662835586895,-3.883135121833609,-3.9544005442003414
-4.757644900463732,-4.687620491656062,-4.647512324779087,-4.6175528610421255,-4.569277922564037,-4.52672323249255,-4.489685169987314,-4.347338832094971,-4.075885235786871,-3.8799472621979323,-3.951168586523392
-4.754565315663749,-4.684533959297728,-4.644430457343743,-4.614483273806065,-4.566190116718019,-4.523617328233801,-4.486654017124673,-4.344150523446322,-4.072619619917566,-3.876675395293729,-3.9478469992409706
-4.751399347444302,-4.681365442559884,-4.641267053372846,-4.611333114658056,-4.563021549546509,-4.520430305263235,-4.483540677727617,-4.340875866102208,-4.0692661802849805,-3.8733161702894146,-3.944433495314731
-4.7481448320665045,-4.678112678076509,-4.638019878641833,-4.608099916870998,-4.559769652053407,-4.517159441615386,-4.480342129436773,-4.3375118727914606,-4.0658216612233264,-3.8698662363533978,-3.94092578770633
-4.744799605791462,-4.6747734024815815,-4.634686698926147,-4.604781213717795,-4.5564318552426135,-4.513802015324789,-4.477055349892765,-4.334055556242906,-4.062282807066812,-3.8663222426540966,-3.9373215893774236
-4.741361504880287,-4.671345352409079,-4.631265280001224,-4.601374538471344,-4.553005590118028,-4.510355304425973,-4.4736773167362225,-4.3305039291853715,-4.058646362149647,-3.86268083835992,-3.933618613289665
