Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_22
-4.799008248736353,-4.728445031387539,-4.688986405763376,-4.655340872870389,-4.6020863124718545,-4.551293626775111,-4.487745536574031,-4.305739235980859,-4.030997856891812,-3.924009901491811,-4.14880306977026
-4.796988550940775,-4.7263594171267265,-4.686899832715941,-4.653253724571403,-4.599917153849835,-4.549159802085413,-4.485685209702193,-4.303556467330785,-4.028790422935209,-3.9217603806076795,-4.146469373934218
-4.794920189937281,-4.724227775053221,-4.684767782541017,-4.651123313856455,-4.597711436317813,-4.5469844167617035,-4.483580963444444,-4.301340180407929,-4.02654332209007,-3.9194651687634576,-4.144096409034426
-4.792800860056673,-4.722047842936406,-4.682588009082914,-4.648947166805777,-4.595466382105141,-4.544764832199731,-4.481430214155171,-4.299087061260649,-4.024253506765838,-3.91712158157868,-4.141681285130341
-4.790628255629752,-4.719817358545676,-4.6803582661859435,-4.646722809499595,-4.593179213441166,-4.542498409795241,-4.479230378188758,-4.296793795937299,-4.021917929371953,-3.9147269346728844,-4.139221112281419
-4.788400070987315,-4.717534059650414,-4.678076307694417,-4.644447768018135,-4.590847152555235,-4.540182510943982,-4.476978871899587,-4.294457070486233,-4.019533542317859,-3.912278543665606,-4.136713000547115
-4.786114000460166,-4.715195684020013,-4.675739887452649,-4.64211956844163,-4.588467421676698,-4.537814497041699,-4.474673111642045,-4.292073570955807,-4.017097298012998,-3.9097737241763815,-4.134154059986886
-4.783767738379102,-4.712799969423861,-4.673346759304944,-4.6397357368503025,-4.586037243034903,-4.535391729484136,-4.472310513770514,-4.289639983394377,-4.014606148866811,-3.9072097918247484,-4.13154140066019
-4.781358979074925,-4.710344653631344,-4.670894677095617,-4.637293799324383,-4.583553838859199,-4.532911569667043,-4.469888494639379,-4.2871529938503,-4.012057047288743,-3.9045840622302417,-4.128872132626483
-4.778885416878435,-4.707827474411853,-4.668381394668977,-4.6347912819441,-4.581014431378936,-4.530371378986165,-4.467404470603027,-4.284609288371925,-4.009446945688235,-3.901893851012399,-4.12614336594522
-4.77634474612043,-4.705246169534776,-4.665804665869338,-4.632225710789681,-4.578416242823459,-4.527768518837248,-4.464855858015837,-4.282005553007614,-4.006772796474729,-3.8991364737907555,-4.123352210675859
-4.773734661131715,-4.702598476769502,-4.663162244541009,-4.629594611941355,-4.57575649542212,-4.5251003506160385,-4.462240073232196,-4.279338473805718,-4.004031552057669,-3.8963092461848494,-4.120495776877854
-4.771052856243086,-4.699882133885421,-4.6604518845283005,-4.626895511479346,-4.5730324114042675,-4.522364235718284,-4.4595545326064885,-4.276604736814592,-4.0012201648464965,-3.893409483814217,-4.1175711746106645
-4.768297025785344,-4.697094878651919,-4.657671339675526,-4.624125935483885,-4.570241212999249,-4.519557535539731,-4.456796652493097,-4.273801028082595,-3.998335587250654,-3.8904345022983926,-4.114575513933745
-4.76546486408929,-4.694234448838388,-4.654818363826993,-4.6212834100352005,-4.567380122436414,-4.5166776114761245,-4.453963849246407,-4.270924033658079,-3.9953747716795847,-3.8873816172569144,-4.111505904906553
-4.762554065485723,-4.6912985822142135,-4.651890710827017,-4.618365461213519,-4.564446361945109,-4.51372182492321,-4.451053539220804,-4.2679704395894005,-3.99233467054273,-3.8842481443093195,-4.108359457588546
-4.759562324305444,-4.688285016548784,-4.648886134519906,-4.615369615099068,-4.561437153754685,-4.510687537276736,-4.448063138770669,-4.264936931924914,-3.989212236249532,-3.8810313990751424,-4.105133282039178
-4.756487334879251,-4.685191489611492,-4.6458023887499715,-4.612293397772076,-4.5583497200944905,-4.507572109932449,-4.444990064250388,-4.261820196712976,-3.986004421209436,-3.877728697173921,-4.101824488317905
-4.753326791537949,-4.6820157391717245,-4.642637227361527,-4.609134335312773,-4.555181283193873,-4.504372904286095,-4.441831732014346,-4.258616920001939,-3.9827081778318805,-3.874337354225192,-4.098430186484187
-4.750078388612334,-4.678755502998868,-4.63938840419888,-4.605889953801384,-4.5519290652821836,-4.501087281733419,-4.438585558416923,-4.25532378784016,-3.979320458526311,-3.8708546858484896,-4.094947486597478
-4.746739820433207,-4.675408518862314,-4.636053673106343,-4.602557779318138,-4.548590288588767,-4.49771260367017,-4.435248959812511,-4.251937486275995,-3.9758382157021677,-3.8672780076633537,-4.091373498717234
-4.74330878133137,-4.6719725245314505,-4.632630787928228,-4.599135345047517,-4.545162175342975,-4.494246231492092,-4.431819352555487,-4.248454701357798,-3.972258401768896,-3.8636046352893185,-4.087705332902913
-4.73978296563762,-4.668445257775662,-4.629117502508845,-4.595620439559994,-4.541641947774156,-4.490685526594932,-4.4282941530002375,-4.244872119133925,-3.968577969135935,-3.8598318843459203,-4.0839400992139705
-4.736160067682759,-4.664824456364346,-4.625511570692507,-4.59201117163044,-4.538026828111657,-4.487027850374438,-4.424670777501149,-4.241186425652731,-3.964793870212729,-3.855957070452696,-4.080074907709863
-4.732437781797588,-4.6611078580668845,-4.621810746323523,-4.588305670309927,-4.534314038584829,-4.4832705642263555,-4.420946642412601,-4.23739430696257,-3.960903057408722,-3.851977509229183,-4.076106868450047
-4.728613802312904,-4.657293200652668,-4.618012783246204,-4.584502064649524,-4.530500801423017,-4.479411029546429,-4.417119164088981,-4.2334924491117985,-3.956902483133352,-3.8478905162949166,-4.07203309149398
-4.724685823559511,-4.653378221891086,-4.6141154353048615,-4.580598483700303,-4.526584338855572,-4.475446607730407,-4.413185758884674,-4.229477538148771,-3.9527890997960653,-3.8436934072694333,-4.067850686901116
-4.720651539868209,-4.649360659551525,-4.610116456343809,-4.576593056513335,-4.522561873111845,-4.471374660174036,-4.4091438431540615,-4.225346260121844,-3.9485598598063043,-3.83938349777227,-4.063556764730914
-4.716508645569794,-4.645238251403375,-4.606013600207353,-4.572483912139688,-4.518430626421181,-4.4671925482730614,-4.404990833251529,-4.221095301079372,-3.94421171557351,-3.8349581034229634,-4.059148435042829
-4.71225483499507,-4.641008735216026,-4.601804620739808,-4.568269179630436,-4.514187821012929,-4.46289763342323,-4.40072414553146,-4.216721347069709,-3.9397416195071235,-3.8304145398410507,-4.054622807896318
-4.707887802474836,-4.636669848758866,-4.597487271785484,-4.5639469880366486,-4.50983067911644,-4.458487277020288,-4.39634119634824,-4.212221084141211,-3.93514652401659,-3.825750122646066,-4.049976993350836
-4.703405242339892,-4.632219329801282,-4.593059307188692,-4.559515466409393,-4.505356422961062,-4.453958840459983,-4.391839402056252,-4.207591198342234,-3.9304233815113516,-3.8209621674575476,-4.045208101465843
-4.6988048489210374,-4.6276549161126646,-4.588518480793744,-4.554972743799745,-4.50076227477614,-4.4493096851380605,-4.387216179009881,-4.202828375721133,-3.92556914440085,-3.8160479898950306,-4.040313242300792
-4.694084316549074,-4.622974345462402,-4.58386254644495,-4.550316949258771,-4.496045456791029,-4.444537172450266,-4.38246894356351,-4.197929302326263,-3.920580765094526,-3.811004905578053,-4.035289525915141
-4.689241339554801,-4.618175355619883,-4.579089257986621,-4.545546211837544,-4.491203191235072,-4.439638663792347,-4.377595112071527,-4.192890664205978,-3.915455196001826,-3.8058302301261513,-4.030134062368347
-4.684273612269019,-4.613255684354495,-4.574196369263069,-4.540658660587133,-4.486232700337621,-4.43461152056005,-4.372592100888311,-4.187709253844345,-3.9101893895321886,-3.8005212791588594,-4.024844104883054
-4.679178829022527,-4.608213069435629,-4.569181634118603,-4.5356524245586085,-4.481131206328023,-4.429453104149121,-4.367457326368247,-4.1823824597205554,-3.9047802980950586,-3.7950753682957172,-4.019417976668875
-4.6739546841461275,-4.603045248632671,-4.564042806397538,-4.530525633719393,-4.475895973991049,-4.424160775955306,-4.362188204865722,-4.176907877644366,-3.899224874099879,-3.7894898131562584,-4.013854485211723
-4.668598871970618,-4.597750028941919,-4.558777642756181,-4.525276457947035,-4.470525648591247,-4.418732099777944,-4.35678215273512,-4.171283103634834,-3.89352006995609,-3.7837619293600206,-4.008152440384492
-4.6631090868267995,-4.59232651507507,-4.553384571601855,-4.519903121589915,-4.465020524612839,-4.413165734064974,-4.351236467253868,-4.165505733711024,-3.887662838073135,-3.7778890325265415,-4.002310652060075
-4.657483023045472,-4.586774964288403,-4.547863559057542,-4.514403852913513,-4.459380993377077,-4.407460705628949,-4.345547523868676,-4.159573363892002,-3.8816501308604567,-3.771868438275355,-3.996327930111369
-4.651718496289219,-4.581095673902772,-4.5422147854828445,-4.508776880183304,-4.45360744620521,-4.401616041559767,-4.339711267925587,-4.153483590196825,-3.8754789007274977,-3.765697462226,-3.9902030844112675
-4.6458154887372896,-4.575288941239037,-4.536438431237365,-4.503020431664766,-4.44770027441849,-4.395630768947324,-4.333723642351373,-4.14723400864456,-3.8691461000837,-3.7593734199980102,-3.9839349248326648
-4.639775850368411,-4.56935506361806,-4.530534676680713,-4.497132735623377,-4.4416598693381655,-4.389503914881517,-4.32758059007281,-4.1408222152542695,-3.8626486813385057,-3.752893627210926,-3.977522261248456
-4.633601492337128,-4.563294338360695,-4.5245037021724865,-4.49111202032461,-4.435486622285487,-4.383234506452243,-4.321278054016674,-4.134245806045015,-3.8559835969013596,-3.74625539948428,-3.970963903531535
-4.627294325797989,-4.557107062787803,-4.518345688072295,-4.484956514033947,-4.429180924581708,-4.376821570749401,-4.314811977109737,-4.12750237703586,-3.8491477991817007,-3.7394560524376104,-3.964258661554799
-4.6208562619055416,-4.550793534220244,-4.512060814739742,-4.478664445016864,-4.422743167548076,-4.370264134862884,-4.308178302278775,-4.120589524245867,-3.842138240588974,-3.7324929016904536,-3.957405345191139
-4.6142892118143335,-4.5443540499788755,-4.50564926253443,-4.472234041538836,-4.416173742505842,-4.363561225882594,-4.3013729724505625,-4.113504843694098,-3.8349518735326207,-3.7253632628623468,-3.9504027643134507
-4.607595086678911,-4.537788907384555,-4.499111211815965,-4.46566353186534,-4.409473040776259,-4.356711870898428,-4.294391930551873,-4.10624593139962,-3.827585650422084,-3.718064451572825,-3.9432497287946315
-4.600775797653823,-4.531098403758143,-4.4924468429439495,-4.458951144261855,-4.402641453680573,-4.34971509700028,-4.287231119696387,-4.098810383381491,-3.820036523666806,-3.7105937834414244,-3.935945048507572
-4.593833255893614,-4.5242828364204986,-4.485656336277988,-4.452095106993857,-4.39567937254004,-4.3425699312780495,-4.2798885713962465,-4.091195795658777,-3.812301445676229,-3.7029485740876837,-3.9284875333251685
-4.586769372552835,-4.517342502692479,-4.4787398721776865,-4.445094455660234,-4.3885871886759045,-4.335275400821635,-4.272369578511299,-4.083399764250539,-3.804377368859796,-3.695126139131137,-3.9208759931203168
-4.579586058786031,-4.510277699894941,-4.471697631002649,-4.437953630786715,-4.38136529340942,-4.327830532720929,-4.264681011077433,-4.0754198851758385,-3.7962612494816597,-3.6871237962412082,-3.9131092377659096
-4.572285221914513,-4.50308872534875,-4.4645297931124786,-4.430679291810179,-4.374014078061839,-4.320234354065835,-4.2568297391305325,-4.067253754453743,-3.7879515093273786,-3.678939246310327,-3.905186077134843
-4.564866944115982,-4.495775876374758,-4.457236538866781,-4.423278104942944,-4.3665339339544085,-4.312485891946245,-4.24882263270649,-4.058898968103312,-3.7794502367759106,-3.670571021312015,-3.89710532110001
-4.557326566881287,-4.488339450293828,-4.44981804862516,-4.415756736397323,-4.358925252408381,-4.304584173452061,-4.240666561841189,-4.050354065867496,-3.770760084290859,-3.66201776205141,-3.888865593947853
-4.549658671938737,-4.480779744426815,-4.442274502747218,-4.408121852385636,-4.351188424745004,-4.296528225673176,-4.232368396570518,-4.041627237265516,-3.761883704335821,-3.653278109333645,-3.880460416543158
-4.541857841016645,-4.473097056094582,-4.434606081592564,-4.400380119120198,-4.343323842285533,-4.288317075699489,-4.2239350069303665,-4.032732322688372,-3.7528237493743988,-3.6443507039638634,-3.871877694269521
-4.533918655843316,-4.465291682617984,-4.426812965520798,-4.392538202813326,-4.3353318963512155,-4.2799520002649665,-4.215372957162863,-4.023683233953238,-3.7435828718701893,-3.6352341867471942,-3.8631050442185733
-4.525835698147064,-4.457363921317883,-4.418895334891528,-4.384602769677337,-4.327212963943244,-4.271446767889151,-4.206681299368186,-4.01449388287729,-3.734163724286795,-3.6259271984887818,-3.854130083481951
-4.517603549656197,-4.449314026079755,-4.410853370064354,-4.376577819408211,-4.318962750042967,-4.262819458076391,-4.1978512974135835,-4.0051781812777,-3.7245689590878133,-3.6164283799937595,-3.844940429151287
-4.509216792099025,-4.44113378250605,-4.402684088729235,-4.368445189082646,-4.310565587263545,-4.2540881543986995,-4.188873854131804,-3.995750040971644,-3.714801228736844,-3.6067363720672647,-3.835523698318216
-4.50066921705871,-4.43279643343998,-4.394367546447357,-4.3601757330561055,-4.302004110844622,-4.245270894875774,-4.1797398723555945,-3.986223336106779,-3.704863185697486,-3.596849815514434,-3.825867508074369
-4.491937249848161,-4.424272766295126,-4.385878136401075,-4.351740226961455,-4.29326095602584,-4.236367109648592,-4.17044025491771,-3.976601555124544,-3.694757482433341,-3.5867673511404052,-3.815959475511382
