Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17
-4.543045321292028,-4.455593474700764,-4.420757543922042,-4.397825352962593,-4.366778428796226,-4.321613978992351,-4.296597474474754,-4.2216138844406785,-4.0661231940844536
-4.536214827755237,-4.448897859598822,-4.413986085509331,-4.391006520908303,-4.3599152017396765,-4.314702476114205,-4.289673022774338,-4.214674969154044,-4.059134159455833
-4.529265982185764,-4.442083119192461,-4.407078860616433,-4.384047612980721,-4.352916831933842,-4.3076437485628,-4.2826008144580925,-4.2075815324958805,-4.05198362102888
-4.522200798664175,-4.4351499089164115,-4.400034873860731,-4.376947541174833,-4.3457823218460465,-4.300436348001628,-4.275379604662162,-4.200331853536916,-4.044669107752906
-4.515020775579286,-4.428093469808687,-4.39285312985961,-4.369705217485622,-4.338510673943613,-4.293078826094175,-4.2680081485226955,-4.192924211347879,-4.037188148577223
-4.50771633089201,-4.420899552195088,-4.38553263323045,-4.362319553908073,-4.331100890693856,-4.28556973450393,-4.260485201175837,-4.185356884999495,-4.029538272451141
-4.500267219137226,-4.413552946586299,-4.3780723885906365,-4.354789462437168,-4.323551974564098,-4.277907624894379,-4.252809517757734,-4.177628153562492,-4.0217170083239715
-4.492652762596909,-4.406038443493007,-4.37047140055755,-4.347113855067895,-4.315862928021661,-4.270090831771992,-4.2449798534045335,-4.169736296107597,-4.01372187387137
-4.484852283553034,-4.398340833425895,-4.3627286737485775,-4.339291643795236,-4.308032753533865,-4.262113050111546,-4.236994963252383,-4.161679480473987,-4.005548330074219
-4.4768451042875705,-4.390444906895652,-4.3548432117228995,-4.331321740614175,-4.300060444347672,-4.2539635244474425,-4.228853263029389,-4.153452177758294,-3.9971874029517394
-4.468610547082495,-4.382335454412962,-4.3468083443601575,-4.323203057519697,-4.291939710882203,-4.24563131999585,-4.22054592586183,-4.145044391226374,-3.9886295415779016
-4.46012793421978,-4.373997266488509,-4.338598465355542,-4.314934506506787,-4.283650146188764,-4.237105501972944,-4.212057182295072,-4.136445856957682,-3.9798651950266772
-4.451376587981396,-4.365415080526108,-4.330184022604225,-4.3065101743797065,-4.275169010329169,-4.228375135594897,-4.203370983504295,-4.127646311031664,-3.9708848123720335
-4.442336829943466,-4.356571874119982,-4.321535464001388,-4.297900629414256,-4.266473563365234,-4.21942928607788,-4.194471280664684,-4.118635489527772,-3.961678842687944
-4.432993842367167,-4.347448500956886,-4.3126232374422075,-4.289069285072483,-4.257541065358773,-4.210257018638068,-4.185342024951419,-4.109403128525456,-3.952237735048375
-4.423334283258903,-4.33802568798893,-4.303417790821856,-4.2799795531371725,-4.248348776371604,-4.200847398491632,-4.175967167539683,-4.099938964104165,-3.942551938527298
-4.413344810961443,-4.328284162168227,-4.293889572035512,-4.270594845391103,-4.238873956465542,-4.191189486867461,-4.166330659604656,-4.090232732343349,-3.932611902198686
-4.403012083817568,-4.318204650446884,-4.284009028978353,-4.260878573617059,-4.229093865702401,-4.18126944165131,-4.156416452321522,-4.0802741693224585,-3.9224080751365045
-4.392322760170047,-4.307767879777008,-4.273746607011677,-4.2507941495978185,-4.218985680412392,-4.171065394798967,-4.146208496865462,-4.070053011120944,-3.9119309064147263
-4.381263498361653,-4.296954577110711,-4.262871378653322,-4.240304985116163,-4.208275123380004,-4.160554103025359,-4.135690744411658,-4.059558993818252,-3.9011708451073184
-4.3698209567351585,-4.285745489657798,-4.250772847139345,-4.229374903155858,-4.196272614373331,-4.149712323045411,-4.124847146135294,-4.0487818534938365,-3.890118340288255
