Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23
-4.793011342052642,-4.721772505717365,-4.683625580685117,-4.654523413486374,-4.602041351494084,-4.560725554058449,-4.535426468093937,-4.422348746291674,-4.275710977599488,-4.022678759239777,-4.0087347684898385
-4.79102092639259,-4.719766434293853,-4.681580729506689,-4.652490590242656,-4.599930646915166,-4.558611219313406,-4.5333630434911205,-4.42021596978695,-4.273587873557355,-4.020459680043932,-4.006585309892736
-4.788984773784437,-4.7177103730890275,-4.679492468457217,-4.6504128443945465,-4.597782735933167,-4.556459208652258,-4.531266657543433,-4.4180526804567215,-4.271422949366051,-4.018205219805712,-4.004409669385572
-4.786900460062524,-4.715602375476531,-4.677358509747442,-4.648287987243785,-4.595595059520445,-4.554266936479141,-4.529134479550355,-4.415855936986168,-4.269213499918415,-4.01591225961102,-4.0022045098824774
-4.784765561061195,-4.713440494830006,-4.675176565588111,-4.646113830092105,-4.593365058649352,-4.5520318171981815,-4.526963678811373,-4.413622798060474,-4.266956820107279,-4.0135776805457635,-3.999966494297574
-4.782577652614788,-4.711222784523094,-4.672944348189963,-4.643888184241241,-4.591090174292242,-4.549751265213512,-4.524751424625965,-4.411350322364817,-4.264650204825489,-4.011198363695844,-3.997692285544991
-4.780334310557642,-4.708947297929443,-4.670659569763746,-4.641608860992932,-4.588767847421473,-4.547422694929262,-4.52249488629362,-4.409035568584379,-4.26229094896588,-4.008771190147174,-3.9953785465388525
-4.7780331107240945,-4.706612088422691,-4.668319942520203,-4.639273671648911,-4.586395519009395,-4.545043520749561,-4.520191233113815,-4.40667559540434,-4.259876347421293,-4.006293040985651,-3.993021940193284
-4.775671628948489,-4.7042152093764855,-4.665923178670074,-4.636880427510918,-4.583970630028366,-4.542611157078541,-4.517837634386035,-4.404267461509882,-4.257403695084563,-4.003760797297184,-3.9906191294224116
-4.773247441065161,-4.701754714164466,-4.663466990424105,-4.634426939880681,-4.581490621450739,-4.540123018320332,-4.515431259409764,-4.4018082255861835,-4.254870286848534,-4.001171340167676,-3.98816677714036
-4.770758122908457,-4.699228656160278,-4.660949089993037,-4.6319110200599445,-4.578952934248869,-4.537576518879063,-4.512969277484483,-4.399294946318428,-4.25227341760604,-3.9985215506830345,-3.9856615462612566
-4.7682012503127105,-4.696635088737562,-4.658367189587617,-4.629330479350438,-4.576355009395109,-4.534969073158864,-4.510448857909676,-4.396724682391795,-4.24961038224992,-3.995808309929164,-3.9831000996992265
-4.765574399112263,-4.693972065269964,-4.655719001418585,-4.626683129053902,-4.573694287861815,-4.532298095563868,-4.5078671699848245,-4.394094492491465,-4.246878475673016,-3.993028498991968,-3.980479100368395
-4.7628751451414555,-4.691237639131125,-4.653002237696689,-4.623966780472068,-4.570968210621342,-4.529561000498203,-4.505221383009414,-4.391401435302622,-4.244074992768165,-3.9901789989573544,-3.9777952111828876
-4.760101064234627,-4.68842986369469,-4.650214610632667,-4.621179244906675,-4.568174218646044,-4.526755202366,-4.502508666282925,-4.388642569510442,-4.241197228428206,-3.9872566909112264,-3.9750450950568315
-4.757249732226117,-4.685546792334301,-4.647353832437266,-4.618318333659458,-4.565309752908275,-4.523878115571388,-4.499726189104839,-4.385814953800109,-4.238242477545977,-3.984258455939489,-3.9722254149043508
