Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11
-1.1117557730325094,-1.0854176693579027,-1.0659618396174368,-1.054468630257739,-1.0320667784735844,-0.9960209335995012
-1.0780560294768522,-1.05571410064307,-1.0369739507228422,-1.024471956067629,-1.002838368448937,-0.9670973592192942
-1.052505333233769,-1.0262269304040954,-1.0062004962471287,-0.9946434775848488,-0.9720043637501297,-0.9359128855277696
-1.022568356138903,-0.9972172788360111,-0.9766616256112937,-0.9638736720422724,-0.9423155192684737,-0.9064945587042865
-0.9928135895932007,-0.9678121936521389,-0.9465655016996578,-0.9348387021229271,-0.911943515024498,-0.8765562076048714
-0.9619572573782668,-0.9358359528113687,-0.9166965361611976,-0.9038869713655827,-0.8811253125959716,-0.8438629697130771
-0.9294178011085936,-0.9051842751126306,-0.884342623278205,-0.8714038651610527,-0.8487550171413919,-0.8145222924738545
-0.896537798351553,-0.8712540651835945,-0.8509970122700695,-0.8383803039046931,-0.8152722426976294,-0.7810312467376062
-0.8603768548576239,-0.8363095925475652,-0.8161862085535367,-0.8035572443307057,-0.780044390951655,-0.7463708389999885
-0.8211682637406565,-0.7986507028309291,-0.7783759677127547,-0.7656570804308026,-0.7431229476471684,-0.708894128297366
-0.7784370125457932,-0.755990934538599,-0.7372196727202445,-0.7253080262496867,-0.701019289323939,-0.6695702620600174
-0.7307710501542319,-0.7116053169681967,-0.693178462554479,-0.6802311583122117,-0.6603464010706522,-0.6274078138101475
-0.6769182023177704,-0.6601742560574378,-0.6435589173780598,-0.6323668253568271,-0.6141737507178913,-0.581194106326154
-0.6201505132266486,-0.6080142850357029,-0.5901328334431349,-0.5811265600742245,-0.5618128683920351,-0.5319393307243202
-0.5572139455094648,-0.5508972125051612,-0.5350540975905145,-0.5254182979691817,-0.5090387483037769,-0.4811041670528301
-0.4968392221524477,-0.4901566875486574,-0.47628970432051515,-0.4646133831698286,-0.4515409612751038,-0.42286859148743317
-0.43602137648763667,-0.43416270858733463,-0.4203347364556957,-0.41151694564217345,-0.3979350362471921,-0.37600699279606514
-0.3763209303373218,-0.37647017182268144,-0.36421170041390766,-0.3574429819053025,-0.3449960248225009,-0.323780898335153
-0.318498103186718,-0.32125936981557424,-0.3086893053047097,-0.30395518218458195,-0.29237296290597614,-0.27430647616836684
-0.26364301300979975,-0.2693310393793687,-0.26032341309944274,-0.25460006310149313,-0.24233802781804173,-0.2273179220597939
-0.2159274414122901,-0.22194473523611993,-0.21356314881882865,-0.20880735067329786,-0.19900976544526364,-0.18617350050592132
-0.17670372636770731,-0.18159440517923758,-0.17446745478632159,-0.16856215494263113,-0.16189890720015143,-0.15186748074994383
-0.14464193200517392,-0.14891387248305757,-0.14256981761307422,-0.13882651344965002,-0.13222039010999223,-0.12357983176336669
-0.119580976464038,-0.12319351541627972,-0.11713796271530884,-0.11390460090093368,-0.10830361216747912,-0.10111116462706131
-0.09955023025080259,-0.10198466171419476,-0.0967688737883885,-0.0937665252404586,-0.08886660085119856,-0.08294085515758358
-0.08270917852253772,-0.08433130631995427,-0.07998292372988725,-0.0774013287965368,-0.0726707242195628,-0.06770667685902751
-0.06763147800563231,-0.06934371698340211,-0.06559046214795664,-0.06336620486993133,-0.058994504633497945,-0.05484894049498631
-0.05490040753909868,-0.05657199303636846,-0.053233135950460975,-0.05133606382800041,-0.047521810486543886,-0.04406101329652227
