Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07
-3.395995634533578,-3.3150174025418346,-3.2565668705177475,-3.1760755446194247
-3.3551730984757007,-3.275215625946756,-3.2174940140488135,-3.13710247411992
-3.313499864346237,-3.2349841240284296,-3.1781743617678564,-3.0991784935388833
-3.271976557622296,-3.1947347885657194,-3.138829655937723,-3.0605662778038116
-3.2289233008806018,-3.1540837786422182,-3.099052166817552,-3.0213009033596805
-3.187193543331759,-3.1127403914565304,-3.0587829604598595,-2.9818710325889954
-3.1452408554513815,-3.073253788813654,-3.0194347992398765,-2.9430911686189156
-3.102951773740675,-3.0309571837306524,-2.9790164604998264,-2.9041701314955857
-3.0615468793462948,-2.9905660125811875,-2.939441082432578,-2.864130625622175
-3.0183218155918743,-2.949941773406277,-2.900209670074646,-2.826253445921728
-2.9773816008550655,-2.909362743555279,-2.860892177212315,-2.788189458411584
-2.9356965090822937,-2.8695563094009358,-2.821479153436713,-2.74980319767815
-2.89381318707769,-2.8310672271833566,-2.7826675953191655,-2.7124766568315914
-2.8546254155502013,-2.7906063514126536,-2.7450723670991266,-2.6759646772458217
-2.8140663208446717,-2.7539067513728512,-2.708152115490581,-2.6397552860532087
-2.774953200674144,-2.716210607201869,-2.6708238335388597,-2.6039009639062614
-2.736848953653127,-2.678708539046376,-2.6342023091973252,-2.5685468781083434
-2.6984659627020626,-2.642439139415491,-2.5986625443213436,-2.5338359421367853
-2.66153918621912,-2.606893264104976,-2.5637884270680273,-2.4997818065598323
-2.6254481849660376,-2.5721135848653103,-2.52937463521505,-2.4662028774776923
-2.5898990455595414,-2.537788929900654,-2.4953845188092476,-2.433002226800346
-2.5547211735010613,-2.5037363201088043,-2.4617850223767377,-2.400236685145245
-2.5199248728731156,-2.4700672016239755,-2.4285430356684428,-2.367905304779656
-2.4856010143659413,-2.4368501397221576,-2.3956167107056006,-2.3358829838346464
-2.4519330281501057,-2.4039750864039355,-2.362945956390334,-2.30403205987392
-2.418844777363056,-2.3713145640144564,-2.330468396262565,-2.2722148711068724
-2.385864435839869,-2.3387588785181603,-2.2981216512484486,-2.2403140748942767
-2.3526711407313208,-2.30620695710107,-2.2658341351591584,-2.208286017344403
-2.3192560560695377,-2.2735764602225914,-2.2335044066169316,-2.176103743899209
-2.2856575910981354,-2.2407888386713837,-2.2010249836021165,-2.1437403000006516
-2.252023203875624,-2.2077655432361083,-2.168288384095064,-2.1111684307558325
-2.2184754730751965,-2.1744290917052425,-2.1351887414974127,-2.07834707769818
-2.184656559754,-2.140725253820172,-2.101665154811726,-2.0452159124812317
-2.150016404938069,-2.1066223569162807,-2.0677065104692884,-2.0117131748755774
-2.1145169521072393,-2.0720896564169697,-2.033304277826199,-1.9777773160545935
-2.078753528165282,-2.037096601417111,-1.998449323478945,-1.943367964758174
-2.042961958254842,-2.001738523595265,-1.9631156052425605,-1.908483702027206
-2.0069573400110157,-1.9661539788692692,-1.927258214481546,-1.873156200739735
-1.969908115938034,-1.929494137798921,-1.890802513315253,-1.837566703198819
-1.93143442106016,-1.8918661582014025,-1.8536025261965359,-1.8014648741184849
-1.8934548353153604,-1.8538135653149983,-1.8156162085240697,-1.7635815751276747
-1.8546983432481194,-1.8155011948103728,-1.7769868097896364,-1.7259325138755395
-1.8146103697204268,-1.776290834289497,-1.7377194534708267,-1.6880680215453399
-1.7741423219977028,-1.7355918310497018,-1.6976865371435361,-1.649156743271927
-1.7327750668067687,-1.6948646094873343,-1.65691265018814,-1.6094130783149876
-1.6908735949063003,-1.654287353691653,-1.6154963827563393,-1.5694774517465064
-1.6482260708396634,-1.6110952466455497,-1.5735366686780763,-1.5288272674560024
-1.6049391215911473,-1.568923925499188,-1.5310926034995356,-1.487773266257158
-1.562486721143119,-1.5267020968282619,-1.4881368928155159,-1.4470779633888209
-1.5195039702373643,-1.4835554613317306,-1.4449923561757034,-1.4056937206376054
-1.4756473488444137,-1.4404358049747827,-1.4022369139068624,-1.364293380503112
-1.4346089407906384,-1.398749670038698,-1.3601170929340862,-1.3242407480776692
-1.3943079778601961,-1.3579071446593738,-1.3187791343749307,-1.2853880314491057
-1.3547345132291555,-1.3177832376901073,-1.2783664088893074,-1.2467058568948846
-1.316459054291394,-1.2789756891540922,-1.238906323048074,-1.2086105900882331
-1.2803189658481378,-1.2416434155665332,-1.200853121661183,-1.1727027190316441
-1.245826690949635,-1.2056715256725379,-1.1644921073588914,-1.1382282523197804
-1.2124892596765453,-1.1709420880757495,-1.1293991608931384,-1.1043746012266467
-1.1798435551284745,-1.137318560880073,-1.0953141661715413,-1.0714149769668315
-1.1479422096445044,-1.1045888817273033,-1.0620617496267863,-1.0397336672334452
-1.1172734594683256,-1.0725235317803816,-1.0294670447219647,-1.0091481112238208
-1.0878576814870677,-1.040929701338045,-0.9973550357164159,-0.9791528048119694
-1.0577260921974152,-1.0096498808623964,-0.965538935240674,-0.9494277695317922
-1.0273333255478443,-0.9785199541093703,-0.9338118723404385,-0.9198426088783178
-0.997275394936393,-0.9473019628799968,-0.9019650142561807,-0.8902751610975411
-0.9666794837734465,-0.9155556886072559,-0.8697895243852631,-0.8606032644354623
-0.9347447866416202,-0.8829544041831963,-0.8370210473755783,-0.8306757235753328
-0.9010630539154924,-0.8492336077440328,-0.8031998705031882,-0.8001798564021128
-0.8651905370896202,-0.8138036550549705,-0.7678233343686293,-0.768747331561932
-0.8259817707653545,-0.7758768144364544,-0.7303887795724395,-0.7360345804375842
-0.7822134726173338,-0.7358064157333807,-0.6903787174235613,-0.7017483328413744
-0.7333689203438565,-0.6918228815626768,-0.6471520966768324,-0.6654898574799107
-0.6782802398838871,-0.6429679235469666,-0.6000989443789368,-0.6266011162754587
-0.6189793280835177,-0.5904058696214289,-0.5490105123767887,-0.5846618437826531
-0.5559377969139913,-0.5338693276294962,-0.4953521451411842,-0.5404589513027148
-0.49068271618016995,-0.4745790094026399,-0.43918793101399484,-0.4916525673756746
-0.426254798791759,-0.4149850082318483,-0.38207638469368943,-0.4415660381117263
-0.36441905446053885,-0.3585854832230276,-0.32677265589123755,-0.3910117349222702
-0.3048703978971546,-0.30311080404457513,-0.2744980663811088,-0.34033389653980084
-0.24992999829148088,-0.2511794304910834,-0.22616744383474613,-0.2903342515488802
-0.20294128556260846,-0.2051334604104036,-0.18326300623503383,-0.24309493046195912
-0.16549168223480065,-0.16580102761144055,-0.1478331699322092,-0.19921277195438647
-0.13580476572793956,-0.1349333220427493,-0.11981181375686267,-0.15962062875835115
-0.11214351958247548,-0.11044329240010617,-0.09766021557258169,-0.1273799931680456
-0.09310938264970432,-0.09080121902853765,-0.07977896839972654,-0.10129911242269685
-0.07732403595857758,-0.07454125990962884,-0.06486053869888102,-0.08014810724031733
-0.063815913859999,-0.06074562213415108,-0.05240558176205306,-0.06284604025731606
-0.052277800034128276,-0.0490958067727732,-0.04205348057787322,-0.04876538029044797
