Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09
-4.555304702484596,-4.42865577614404,-4.359297333235652,-4.301168826784255,-4.101626343388552
-4.5480109010511045,-4.421350236287013,-4.3518992079084455,-4.293626724591013,-4.0940446433923
-4.540582005915527,-4.413916765079442,-4.34436288878116,-4.285944189298036,-4.086303411515102
-4.533013172514547,-4.406355077746136,-4.336687409991745,-4.278120404318794,-4.078400193184649
-4.525299556284848,-4.398664889511911,-4.328871805678154,-4.2701543962124715,-4.070328334481405
-4.517436312663111,-4.390845915601582,-4.320915109978336,-4.26204096758592,-4.062078214662594
-4.5094185970860226,-4.382897871239957,-4.312816326366792,-4.253770323373747,-4.053640150563278
-4.501241172549023,-4.374816011152024,-4.304570300661583,-4.245332436743846,-4.045004459018517
-4.492888820682764,-4.366576957454533,-4.296163551331004,-4.236717280864113,-4.036161456863369
-4.484335780339847,-4.358152467779751,-4.287581603867109,-4.227914828902439,-4.0271014609328954
-4.475555785543577,-4.349514299745894,-4.278809983761957,-4.218915054026721,-4.0178147880621555
-4.4665225703172515,-4.34063421097117,-4.269834216507606,-4.2097079294048525,-4.008291755086209
-4.457209868684177,-4.3314839590737915,-4.2606398275961075,-4.200283428204727,-3.998522678840117
-4.447591414667651,-4.322035301671969,-4.251212342519524,-4.190631523594239,-3.988497876158938
-4.4376409422909795,-4.312259996383915,-4.24153728676991,-4.180742188741283,-3.9782076638777317
-4.427332185577459,-4.302129800827839,-4.231600185839323,-4.170605396813753,-3.96764235883156
-4.416641298214515,-4.291623754836199,-4.221386565219817,-4.160211120979541,-3.9567922778554805
-4.405572679077164,-4.280758097506035,-4.210881950403453,-4.149549334406544,-3.9456477377845545
-4.3941490052578,-4.269560914992292,-4.200071866882287,-4.138610010262654,-3.9341990554538415
-4.3823932609897,-4.258060298478664,-4.188941840148372,-4.127383121715765,-3.9224365476983993
-4.370328430506138,-4.246284339148844,-4.177477395693771,-4.115858641933775,-3.910350531353292
-4.3579774980403885,-4.234261128186518,-4.165664059010535,-4.104026544084572,-3.897931323253577
-4.345361429112314,-4.222012658786855,-4.153493691411569,-4.091876801336055,-3.8851692402343136
-4.332486976350727,-4.209527038808372,-4.140986124437861,-4.079399386856116,-3.8720545991305624
-4.319354788505334,-4.196780674021212,-4.128168905599236,-4.06658427381265,-3.8585777167773836
-4.305965490802903,-4.183749959088484,-4.115069582653905,-4.053421435373549,-3.8447289100098354
-4.292319708470216,-4.1704112886732965,-4.101715703360084,-4.03990084470671,-3.830498495662983
-4.278418066734043,-4.15674105743876,-4.088130652179488,-4.026012474980025,-3.8158767905718785
-4.264256374081346,-4.1427156600479815,-4.0742809297555045,-4.011746299361391,-3.800852382215672
-4.249778246495627,-4.12831149116407,-4.060091859936983,-3.9970922910186966,-3.7853951193792534
-4.234895349032776,-4.113504945450138,-4.045487847867959,-3.9820398471378184,-3.769463379493894
-4.219518886501168,-4.098272417569292,-4.030393298692473,-3.966553330242175,-3.7530153747480304
-4.2035600827329676,-4.082582360369853,-4.014735421375719,-3.950562964301274,-3.736009317330095
-4.186943226213705,-4.066361896526689,-3.998456016310427,-3.933996521436787,-3.718403419428523
-4.169628433957078,-4.049524746580331,-3.981501615451169,-3.9167817737703805,-3.70015589323175
-4.1515819102358735,-4.031984624112318,-3.963818753209354,-3.8988464934237212,-3.6812249509282085
-4.132769859322879,-4.013655242704186,-3.945353968896122,-3.8801184525184764,-3.6615661173180425
-4.113157866673874,-3.9944503159374745,-3.9260601813118168,-3.8605254231763175,-3.64110547886647
-4.092699820440841,-3.9742835573937194,-3.9059092263848947,-3.839995177518911,-3.6197509518666653
-4.071339167575994,-3.9530686806544555,-3.8848764300903764,-3.818463263049853,-3.5974123204394903
-4.049018864296656,-3.9307410732155064,-3.8629238404879493,-3.7959044835220555,-3.5740750011721203
-4.025672397441377,-3.907436319099879,-3.839890860853189,-3.7723060033037457,-3.5498185834096443
-4.001217279290695,-3.883254367612404,-3.8155506142440556,-3.7476549913446546,-3.524724658325453
-3.9755694843355167,-3.8576531573059287,-3.7897618315377555,-3.7219386165945076,-3.4988115052447673
-3.9486449870667526,-3.830370580845394,-3.7629799092721847,-3.695144288402528,-3.472045982526149
-3.9203597619753117,-3.8019022978298036,-3.7356925470110816,-3.6672886223341172,-3.444399867228046
-3.890720409430535,-3.7727316705158542,-3.707474419162909,-3.638445020282962,-3.4158751049484435
-3.861068641166926,-3.742791183680864,-3.6772932058041112,-3.6086910403193597,-3.3864836543962933
-3.829953796311213,-3.711787606646078,-3.6461307735877333,-3.5780047677313016,-3.356259396459645
-3.7976774710934174,-3.6795667356283555,-3.614641017144731,-3.5462317284340465,-3.3252559756709257
-3.764679491760762,-3.6463368944376113,-3.5822456353444108,-3.5134433685523607,-3.29352774418577
-3.730941579913386,-3.612327368879377,-3.54864787145197,-3.4802582672558198,-3.2611290532454875
-3.695756597525243,-3.5776377080437385,-3.514049811136096,-3.4465065473980903,-3.228113899391409
-3.6591822085685104,-3.54225014272994,-3.478694117793655,-3.4108285516125236,-3.1945353886293173
-3.621733386670059,-3.505836061439094,-3.4428206360520694,-3.375503853317648,-3.1604464894341415
-3.5844524062638747,-3.468370395434427,-3.406550795370015,-3.339940580064495,-3.1259001705825264
-3.545374367849637,-3.4304203452392077,-3.369046341155692,-3.303064462408594,-3.090949592188534
-3.5051827379289646,-3.3918134290358743,-3.3302938003105464,-3.2653940422937966,-3.055648433267447
-3.4659014647955613,-3.352618672790664,-3.2930912869803697,-3.2278081518412476,-3.020050459951437
-3.4245440212613407,-3.3131187065920567,-3.254742581535768,-3.190255393455394,-2.9842089649950205
-3.384066925221134,-3.273576353567251,-3.2147570134872754,-3.152471119584977,-2.9481345999356
-3.3425110494174577,-3.2337099000428227,-3.1764053427826338,-3.1141957950586368,-2.9117650932281416
-3.2998507963021235,-3.193021217724822,-3.1362612235054814,-3.0753347160706364,-2.875141728185438
-3.2580673390767383,-3.1518854952734294,-3.0974454366757813,-3.035999884951065,-2.8384438610671676
-3.2147647236192216,-3.1112457315467474,-3.0567387060778284,-2.9969309512192757,-2.8017941995528926
-3.172448258567904,-3.0706065545077412,-3.0173185242313503,-2.9585564276374177,-2.7652589985668183
-3.1303148204333726,-3.029029221835196,-2.9773913636748923,-2.920145494082989,-2.7289026843732307
-3.086330657516374,-2.989306198771895,-2.938160383726604,-2.8816852088812093,-2.692786388041583
-3.0442639280271266,-2.948242925541301,-2.898717030073535,-2.8431935920657367,-2.6569477012965983
-3.0023946215489876,-2.907771038426873,-2.859575400435554,-2.8048218542209127,-2.621416812394516
-2.959945588229153,-2.8680791401598484,-2.8209349423234906,-2.7671969410523762,-2.586238696711404
-2.9191396422823788,-2.829074775906444,-2.782443041902463,-2.7306466296661682,-2.551456173530306
-2.878230275608823,-2.790455989956098,-2.7441905472724217,-2.6936582881699556,-2.5170850850379476
-2.8375001961863546,-2.7517942978033703,-2.706681693269161,-2.6569999892265708,-2.483134761266371
-2.7975651038937386,-2.7145113469908146,-2.670367558939551,-2.621060171211452,-2.449614532113158
-2.7589641695648464,-2.678151097753637,-2.633819589680111,-2.5857516110121166,-2.416530391497212
-2.7197427696607557,-2.641473249575556,-2.5973947435642946,-2.550987187331445,-2.383876335742138
-2.6821918530939417,-2.605336957462919,-2.5621056396618087,-2.5166937976098445,-2.3516436650065176
-2.6455340197240647,-2.5700963201039895,-2.5276885826840103,-2.4828265311324973,-2.3198236794489158
-2.6092293107264717,-2.5356298144363185,-2.49366140249892,-2.4493438551725766,-2.288398439932548
-2.573335629019906,-2.501803983669708,-2.4600287905674043,-2.4162042370032473,-2.257283030972302
-2.5383370807559604,-2.4684855195811646,-2.427035186103066,-2.3833661438976796,-2.2263630223099304
-2.5041691535458215,-2.4355555284635058,-2.3944822962190098,-2.350788043129041,-2.195523854937069
-2.470450107022806,-2.402921375134352,-2.3619420495028027,-2.3184284019704995,-2.164652745926521
-2.436856456835902,-2.3704932123270988,-2.3294388563818647,-2.28624568769243,-2.1336968854245337
-2.4033162915696744,-2.338181181992673,-2.2973224640480003,-2.2541872240635468,-2.1026761843372324
-2.370032087120288,-2.3058787687099898,-2.2654647584359107,-2.2221566015983356,-2.071564042550102
-2.3368976411896014,-2.273429173634994,-2.2332818006870303,-2.190046683736132,-2.0402267682410367
-2.3037274125060345,-2.240675409135517,-2.200358501477362,-2.157750333916274,-2.008545674052949
-2.2701898089123467,-2.2076062817292907,-2.167102524200783,-2.1251604016991954,-1.9765023607436745
-2.2362480193114953,-2.1743206148833707,-2.133997363079313,-2.09216909449231,-1.9441004511793478
-2.202013281867424,-2.140788626009008,-2.1007476514870573,-2.0586689223904084,-1.9113435682261095
-2.167454027691739,-2.1068522999311243,-2.0668253766304896,-2.0246492371445513,-1.8782284405117422
-2.132586369962763,-2.0723483190065997,-2.0321969696855016,-1.9902635535881759,-1.8447067789702338
-2.0974989286210737,-2.0371136144950053,-1.9973272252208294,-1.955524119223269,-1.8107122264001427
-2.061751992562751,-2.0011504603485935,-1.9614603982078924,-1.920189534310533,-1.7761783769358237
-2.024751673673769,-1.9649124779647529,-1.9246625544826477,-1.8841141577663314,-1.7410477993540932
-1.9873908473655142,-1.9287411013921252,-1.8885526831311756,-1.8476421404232435,-1.7053268544471751
-1.950247963463695,-1.8918774439580337,-1.8516252124032304,-1.810864061900408,-1.669049531655752
-1.9118351366816873,-1.8536217442943839,-1.8130806787993257,-1.772726717254525,-1.6322499308197722
-1.8726199006120254,-1.8150812483562315,-1.774304957153269,-1.733883795890527,-1.5949511202495936
-1.833008345196215,-1.775410428074019,-1.7352940993975217,-1.6952519827613473,-1.5571368592126236
-1.7925887929759516,-1.7349080828722332,-1.6944262359795141,-1.6549142817283964,-1.5187821550580263
-1.7513146494389642,-1.6942247028844835,-1.6531559123591117,-1.6141330034790506,-1.4798667515008992
-1.7092599062756118,-1.6520848829342105,-1.6114915480030094,-1.5731579298355571,-1.4405156931033345
-1.6669275711462304,-1.609887097283953,-1.5695104621155216,-1.5311911181529398,-1.4009680333874224
-1.6243550459246636,-1.5676486493826842,-1.5267648644706784,-1.4888896628388049,-1.3609434128084643
-1.5807668838368145,-1.5250032781504266,-1.4838704678209342,-1.4468301905062748,-1.3207896448482503
-1.5370762688879818,-1.4823656974144221,-1.4404597694641008,-1.4037633322250507,-1.2811992382002766
-1.4934580530608659,-1.4388500673693652,-1.3969555397839712,-1.3604686139008584,-1.2404945486297232
-1.4512847817902697,-1.3972205011187817,-1.3548934801219243,-1.3194992625500872,-1.2028574755968329
-1.4106791614954286,-1.3565902835453874,-1.3133053078556374,-1.2781465399420113,-1.1644359531803807
-1.370119563699083,-1.315996139541841,-1.2731944303109057,-1.237891403625672,-1.1273144495940572
-1.3319197860981498,-1.2774580087064558,-1.2337406536343771,-1.1993563181548503,-1.0917101892684002
-1.2945923122526608,-1.2397421801679924,-1.1957018127638939,-1.1615138088235024,-1.057013469368455
-1.2589458436487844,-1.2034464292069789,-1.1591714951483312,-1.1248176777273782,-1.0231506708711195
-1.2249346410885888,-1.1684353346402594,-1.1238882820879528,-1.0894897781181245,-0.9902264690426825
-1.191907065231418,-1.1346038050628684,-1.0896324023960018,-1.0553314319257872,-0.958345650537615
-1.1603300905940346,-1.1017512312496045,-1.0561975434885107,-1.0221268289324517,-0.9275437397828576
-1.1296325009368902,-1.0696576633547954,-1.0233773963799908,-0.9896601589202129,-0.8973896228246578
-1.0992921905070765,-1.038103151532763,-0.9909664841159326,-0.9577156116711589,-0.8672877828213874
-1.0691120373842686,-1.0068655373585926,-0.9587785482986866,-0.9260773769673796,-0.8371097629666729
-1.0390008444679206,-0.9756611080598574,-0.9266465946667133,-0.8945296445909658,-0.8071070017780216
-1.0090731387653609,-0.9441379514673653,-0.8944044701053225,-0.8628566043240055,-0.7772485836812943
-0.9787158703809852,-0.911967858336813,-0.8618788193524431,-0.8308212157181764,-0.7470330535664678
