Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25
-4.763210866395505,-4.687203966453482,-4.669037773796519,-4.6530622995454,-4.626650967091959,-4.600825657770044,-4.5752047330369985,-4.548012426806187,-4.511353062140205,-4.486708211796413,-4.466507073304556,-4.4446932154008945,-4.467208473779114
-4.761204944254345,-4.685302457911898,-4.667131472942175,-4.65114839382216,-4.624793990271263,-4.598913157949495,-4.573367404124384,-4.5461721911674395,-4.509504665577325,-4.4848850466218995,-4.464657068627869,-4.44284566679001,-4.46529914345613
-4.759156743577365,-4.683351684943829,-4.665182521511098,-4.649196658063053,-4.622897410471559,-4.596972106134994,-4.571495338608504,-4.544299962515383,-4.507626777869692,-4.483031806251226,-4.462778556912879,-4.440969533130995,-4.463358453917307
-4.7570636824032135,-4.681349651420166,-4.663188665294896,-4.647204666870899,-4.62095897031166,-4.59499983843318,-4.569586251045999,-4.542393357024984,-4.505716967511276,-4.48114610106424,-4.46086905315328,-4.439062324404119,-4.461383974379148
-4.754923178770533,-4.679294361211797,-4.661147650085179,-4.645169994848514,-4.618976412410377,-4.592993690950702,-4.567637855993504,-4.540449990871216,-4.503772802996049,-4.4792255414407895,-4.458926072342766,-4.4371215505896515,-4.4593732740581595
-4.752732650717973,-4.677183818189612,-4.659057221673551,-4.643090216598717,-4.6169474793865195,-4.590950999794194,-4.565647868007656,-4.538467480229051,-4.501791852817979,-4.47726773776072,-4.4569471294750365,-4.43514472166786,-4.457323922170848
-4.75048951628418,-4.675016026224501,-4.656915125851624,-4.640962906724325,-4.6148699138588976,-4.588869101070302,-4.563614001645089,-4.53644344127346,-4.499771685471043,-4.475270300403881,-4.454929739543783,-4.4331293476190154,-4.4552334879337145
-4.7481911935078,-4.672788989187354,-4.654719108411,-4.638785639828158,-4.612741458446325,-4.586745330885667,-4.561533971462442,-4.534375490179416,-4.497709869449207,-4.473230839750119,-4.452871417542698,-4.431072938423387,-4.453099540563268
-4.745835100427478,-4.670500710949058,-4.65246691514329,-4.63655599051303,-4.610559855767611,-4.584577025346932,-4.559405492016351,-4.532261243121887,-4.495603973246444,-4.471146966179282,-4.45076967846548,-4.428973004061246,-4.4509196492760115
-4.7434186550818636,-4.668149195380505,-4.650156291840098,-4.634271533381761,-4.608322848441566,-4.5823615205607355,-4.557226277863451,-4.530098316275847,-4.493451565356727,-4.46901629007122,-4.448622037305826,-4.426827054512858,-4.44869138328845
-4.740939275509602,-4.6657324463525836,-4.647784984293038,-4.631929843037169,-4.606028179087003,-4.580096152633724,-4.554994043560381,-4.527884325816267,-4.491250214274026,-4.466836421805776,-4.446426009057427,-4.424632599758495,-4.446412311817089
-4.738394379749338,-4.663248467736184,-4.64535073829371,-4.629528494082071,-4.603673590322732,-4.577778257672534,-4.552706503663775,-4.525616887918119,-4.488997488492311,-4.464604971762798,-4.444179108713978,-4.4223871497784275,-4.444080004078433
-4.735781385839722,-4.660695263402196,-4.642851299633725,-4.627065061119285,-4.601256824767559,-4.575405171783812,-4.55036137273027,-4.523293618756372,-4.486690956505556,-4.462319550322136,-4.441878851269174,-4.420088214552923,-4.4416920292889905
-4.733097711819396,-4.658070837221508,-4.640284414104691,-4.624537118751627,-4.598775625040304,-4.5729742310741965,-4.547956365316505,-4.520912134505999,-4.484328186807729,-4.459977767863636,-4.439522751716712,-4.41773330406225,-4.439245956665262
-4.730340775727011,-4.655373193065008,-4.637647827498214,-4.6219422415819205,-4.596227733759773,-4.57048277165033,-4.54548919597911,-4.518470051341974,-4.481906747892803,-4.457577234767147,-4.437108325050286,-4.415319928286681,-4.4367393554237555
-4.72750799560121,-4.65260033480359,-4.634939285605902,-4.619278004212978,-4.593610893544776,-4.567928129618855,-4.54295757927473,-4.515964985439265,-4.479424208254749,-4.455115561412514,-4.434633086263591,-4.412845597206483,-4.434169794780973
-4.724596789480642,-4.64975026630814,-4.632156534219362,-4.616541981247617,-4.5909228470141255,-4.565307641086411,-4.5403592297599955,-4.513394552972843,-4.4768781363875405,-4.452590358179586,-4.43209455035032,-4.410307820801929,-4.431534843953423
-4.72160457540395,-4.646820991449548,-4.6292973191302025,-4.613731747288657,-4.588161336786633,-4.562618642159644,-4.537691861991544,-4.510756370117684,-4.474266100785144,-4.449999235448211,-4.429490232304171,-4.407704109053283,-4.428832072157609
-4.718528771409787,-4.643810514098704,-4.626359386130029,-4.610844876938918,-4.585324105481108,-4.559858468945192,-4.534953190526013,-4.508048053048755,-4.471585669941535,-4.447339803598235,-4.4268176471188365,-4.405031971940818,-4.426059048610035
-4.715366795536793,-4.640716838126499,-4.623340481010451,-4.607878944801214,-4.5824088957163625,-4.557024457549697,-4.532140929920038,-4.505267217941029,-4.468834412350684,-4.444609673009507,-4.424074309788012,-4.4022889194448025,-4.423213342527207
