Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13
-4.7699926993077835,-4.6510631718629805,-4.590949534597723,-4.543849756596905,-4.445034761454419,-4.2834080529042895,-3.9955559307093673
-4.768050036199407,-4.648929542912564,-4.588764873752663,-4.54160782577559,-4.442749485196348,-4.281204501825302,-3.993553251557699
-4.766051418504771,-4.646744973303912,-4.586532126061481,-4.539323774242431,-4.44042452174019,-4.2789536298362725,-3.991501642052721
-4.763994899891444,-4.644507562005659,-4.584249206948244,-4.536995159435099,-4.438057245489276,-4.276653158671676,-3.989399032325789
-4.761878534026993,-4.642215407986438,-4.581914031837023,-4.534619538791266,-4.435645030846938,-4.274300810065988,-3.987243352508256
-4.7597003745789905,-4.639866610214884,-4.579524516151887,-4.532194469748605,-4.433185252216508,-4.271894305753687,-3.985032532731474
-4.757458475215,-4.637459267659624,-4.577078575316906,-4.529717509744785,-4.430675284001316,-4.269431367469249,-3.9827645031267997
-4.7551508896025965,-4.6349914792892974,-4.574574124756148,-4.527186216217475,-4.428112500604693,-4.266909716947153,-3.9804371938255843
-4.752775671409345,-4.632461344072535,-4.572009079893685,-4.52459814660435,-4.425494276429969,-4.264327075921874,-3.978048534959184
-4.750330874302816,-4.629866960977967,-4.569381356153586,-4.521950858343078,-4.422817985880476,-4.2616811661278895,-3.97559645665895
-4.747814551950578,-4.62720642897423,-4.56668886895992,-4.519241908871333,-4.420081003359547,-4.2589697092996746,-3.973078889056237
-4.745224758020197,-4.624477847029955,-4.563929533736757,-4.516468855626783,-4.417280703270508,-4.256190427171709,-3.970493762282401
-4.742559546179246,-4.621679314113775,-4.561101265908167,-4.513629256047101,-4.414414460016695,-4.253341041478466,-3.9678390064687914
-4.739816970095293,-4.618808929194325,-4.55820198089822,-4.510720667569958,-4.411479648001438,-4.250419273954425,-3.9651125517467647
-4.736995083435906,-4.615864791240235,-4.555229594130986,-4.507740647633023,-4.408473641628066,-4.247422846334062,-3.9623123282476747
-4.734091939868651,-4.6128449992201395,-4.552182021030533,-4.50468675367397,-4.405393815299911,-4.244349480351854,-3.9594362661028755
-4.731105593061103,-4.609747652102671,-4.549057177020933,-4.501556543130468,-4.402237543420304,-4.241196897742278,-3.9564822954437178
-4.728034096680826,-4.606570848856461,-4.545852977526253,-4.498347573440189,-4.3990022003925775,-4.237962820239811,-3.953448346401558
-4.724875504395392,-4.6033126884501465,-4.542567337970566,-4.495057402040803,-4.39568516062006,-4.2346449695789286,-3.95033234910775
-4.721627869872367,-4.5999712698523565,-4.539198173777938,-4.491683586369983,-4.392283798506084,-4.23124106749411,-3.9471322336936456
-4.718289246779321,-4.596544692031726,-4.535743400372441,-4.4882236838653995,-4.388795488453981,-4.2277488357198285,-3.9438459302906
-4.714857688783825,-4.593031053956889,-4.532200933178144,-4.484675251964722,-4.385217604867081,-4.224165995990564,-3.9404713690299675
