Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07
-4.767135540826832,-4.647446011061818,-4.575409193963542,-4.506623704255535
-4.765205040390502,-4.645328539629457,-4.5732062657313435,-4.5044754962031135
-4.763219679709315,-4.643162353022877,-4.570959949538834,-4.502273475320038
-4.761177478223952,-4.640945445554752,-4.5686679722587415,-4.500015828939359
-4.759076455375101,-4.63867581153776,-4.5663280607637935,-4.497700744394124
-4.756914630603443,-4.636351445284583,-4.5639379419267145,-4.495326409017381
-4.754690023349665,-4.633970341107892,-4.561495342620233,-4.492891010142178
-4.752400653054452,-4.631530493320372,-4.5589979897170805,-4.490392735101562
-4.750044539158484,-4.629029896234696,-4.556443610089978,-4.48782977122858
-4.74761970110245,-4.626466544163544,-4.553829930611657,-4.485200305856283
-4.745124158327034,-4.623838431419593,-4.551154678154844,-4.482502526317715
-4.742555930272919,-4.62114355231552,-4.548415579592266,-4.479734619945928
-4.7399130363807895,-4.618379901164007,-4.545610361796651,-4.476894774073966
-4.737193496091331,-4.615545472277726,-4.542736751640726,-4.473981176034881
-4.734395328845228,-4.61263825996936,-4.539792475997219,-4.470992013161718
-4.731516554083163,-4.609656258551584,-4.536775261738856,-4.467925472787524
-4.728555191245823,-4.606597462337076,-4.533682835738365,-4.464779742245349
-4.725509259773891,-4.603459865638515,-4.530512924868474,-4.461553008868241
-4.7223767791080515,-4.600241462768578,-4.527263256001911,-4.458243459989246
-4.719155768688992,-4.596940248039943,-4.523931556011402,-4.454849282941414
-4.715844247957391,-4.593554215765289,-4.520515551769675,-4.451368665057791
-4.712440236353938,-4.590081360257294,-4.517012970149457,-4.447799793671425
-4.708941753319316,-4.586519675828634,-4.513421538023477,-4.444140856115365
-4.705346818294209,-4.582867156791988,-4.50973898226446,-4.44039003972266
-4.701653450719302,-4.579121797460033,-4.505963029745135,-4.436545531826354
-4.697859670035279,-4.575281592145448,-4.502091407338229,-4.432605519759497
-4.6939634956828264,-4.57134453516091,-4.498121841916469,-4.428568190855139
-4.689962947102625,-4.567308620819096,-4.494052060352582,-4.424431732446325
-4.685856043735361,-4.563171843432688,-4.489879789519296,-4.420194331866105
-4.681640805021721,-4.558932197314359,-4.485602756289341,-4.415854176447524
-4.677315250402387,-4.55458767677679,-4.481218687535441,-4.411409453523633
-4.672877399318043,-4.550136276132657,-4.476725310130324,-4.406858350427476
-4.668325271209377,-4.545575989694639,-4.472120350946717,-4.402199054492107
-4.663656885517069,-4.540904811775415,-4.46740153685735,-4.3974297530505675
-4.658870261681807,-4.536120736687661,-4.462566594734948,-4.392548633435909
-4.653963419144274,-4.531221758744054,-4.457613251452238,-4.387553882981178
-4.648934377345155,-4.5262058722572736,-4.45253923388195,-4.382443689019424
-4.643781155725133,-4.521071071539998,-4.447342366001948,-4.377216238883693
-4.63850181070415,-4.515815390617843,-4.442021557330905,-4.371869719907033
-4.6330951159697635,-4.510437554595884,-4.436576397706609,-4.366402319422493
-4.627560495435023,-4.504936874916622,-4.431006487438637,-4.360812224763119
-4.621897396543318,-4.499312681609537,-4.425311426836573,-4.355097623261962
-4.616105266738034,-4.493564304704108,-4.419490816209995,-4.349256702252067
-4.61018355346256,-4.487691074229819,-4.41354425586849,-4.343287649066483
-4.604131704160286,-4.481692320216146,-4.407471346121635,-4.337188651038259
-4.597949166274599,-4.475567372692572,-4.401271687279011,-4.33095789550044
-4.59163538724889,-4.469315561688574,-4.394944879650201,-4.324593569786076
-4.5851898145265455,-4.462936217233635,-4.388490523544789,-4.318093861228215
-4.578611895550953,-4.456428669357234,-4.381908219272352,-4.311456957159905
-4.571901077765504,-4.449792248088849,-4.375197567142472,-4.304681044914192
-4.565056808613585,-4.4430262834579635,-4.368358167464733,-4.297764311824126
