Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_29,Q_dch_interp_31,Q_dch_interp_33
-4.8158320504851275,-4.743098256823297,-4.696696250185037,-4.664451283154611,-4.632989329850887,-4.598467837780222,-4.5754093296010865,-4.487025215061715,-4.435939856450149,-4.385873293652064,-4.339112109741938,-4.28455223842429,-4.22562229863617,-4.150734854739834,-4.086394303892705,-4.042609897646277
-4.813827049948125,-4.740985094242482,-4.694595331032902,-4.662334917737385,-4.630961945878353,-4.596444223156293,-4.573449410848035,-4.484963424347253,-4.433810373478834,-4.383793509494083,-4.337051670501933,-4.282482791509428,-4.223552927630207,-4.148687715758341,-4.084350075695725,-4.040674787857739
-4.811773962598275,-4.738832565698544,-4.692453675118439,-4.660177706910274,-4.6288902067804765,-4.594375152000585,-4.571444986130433,-4.482856438820211,-4.431645740784768,-4.38167399188263,-4.33495484263308,-4.280378196791961,-4.221448540287439,-4.14660421735622,-4.082269265560318,-4.038700796776583
-4.809670429818298,-4.7366380693364025,-4.690268806476995,-4.657977233741691,-4.626771908619865,-4.5922584400367175,-4.569393847005869,-4.48070204027605,-4.429443172983397,-4.3795121273357465,-4.332818851692365,-4.278235587600322,-4.219306229567364,-4.144481475976481,-4.0801489884935345,-4.03668511620144
-4.807514092990913,-4.734399003300974,-4.688038249143915,-4.655731081300044,-4.6246048474591275,-4.590091902988313,-4.567293785031933,-4.478498010510227,-4.427199884690165,-4.377305302371475,-4.330640923236764,-4.276052097262941,-4.217123088429468,-4.1423166080621385,-4.077986359502422,-4.034624937930942
-4.805302593498839,-4.732112765737175,-4.685759527154547,-4.653436832653744,-4.62238681936087,-4.58787335657899,-4.5651425917662145,-4.476242131318201,-4.424913090520518,-4.375050903507856,-4.328418282823253,-4.273824859108246,-4.214896209833246,-4.1401067300562024,-4.075778493594027,-4.032517453763717
-4.803033572724795,-4.729776754789924,-4.6834301645442356,-4.651092070871199,-4.620115620387703,-4.585600616532376,-4.562938058766298,-4.47393218449543,-4.422580005089902,-4.372746317262932,-4.326148156008815,-4.2715510064646685,-4.2126226867381895,-4.1378489584016895,-4.073522505775401,-4.030359855498395
-4.800704672051502,-4.7273883686041405,-4.681047685348328,-4.648694379020819,-4.617789046602233,-4.583271498572084,-4.560677977589777,-4.471565951837374,-4.420197843013759,-4.370388930154743,-4.323827768350426,-4.26922767266064,-4.210299612103788,-4.135540409541609,-4.071215511053591,-4.028149334933607
-4.798313532861679,-4.724945005324738,-4.678609613602171,-4.646241340171015,-4.61540489406707,-4.580883818421741,-4.55836013979424,-4.469141215139491,-4.417763818907537,-4.367976128701331,-4.3214543454050665,-4.266851991024588,-4.207924078889534,-4.133178199918976,-4.0688546244356445,-4.025883083867981
-4.795857796538046,-4.722444063096635,-4.676113473341108,-4.643730537390193,-4.612960958844818,-4.578435391804965,-4.55598233693727,-4.466655756197239,-4.415275147386681,-4.365505299420737,-4.319025112729716,-4.264421094884944,-4.205493180054921,-4.130759445976801,-4.066436960928613,-4.023558294100152
-4.793335104463322,-4.719882940064752,-4.6735567886004885,-4.641159553746767,-4.610455036998087,-4.575924034445379,-4.553542360576462,-4.464107356806079,-4.4127290430666335,-4.362973828831005,-4.3165372958813535,-4.261932117570138,-4.203004008559438,-4.128281264158097,-4.063959635539542,-4.021172157428744
-4.7907430980202275,-4.717259034374004,-4.670937083415657,-4.638525972309143,-4.607884924589487,-4.573347562066602,-4.5510380022694035,-4.461493798761467,-4.410122720562842,-4.360379103450175,-4.313988120416957,-4.2593821924086015,-4.200453657362577,-4.125740770905878,-4.061419763275481,-4.01872186565239
-4.788079418591482,-4.714569744169308,-4.668251881821962,-4.635827376145734,-4.605248417681623,-4.5707037903922565,-4.548467053573679,-4.458812863858863,-4.4074533944907515,-4.357718509796288,-4.311374811893503,-4.256768452728766,-4.197839219423831,-4.123135082663156,-4.05881445914348,-4.016204610569721
-4.7853417075598035,-4.711812467595584,-4.665498707854747,-4.633061348324946,-4.6025433123371045,-4.567990535145963,-4.54582730604688,-4.456062333893725,-4.404718279465806,-4.354989434387385,-4.308694595867975,-4.254088031859056,-4.19515778770269,-4.120461315872942,-4.0561408381505855,-4.013617583979367
-4.782527606307913,-4.708984602797747,-4.662675085549359,-4.63022547191519,-4.599767404618539,-4.565205612051344,-4.543116551246596,-4.453239990661513,-4.40191459010345,-4.35218926374151,-4.305944697897351,-4.251338063127909,-4.192406455158648,-4.1177165869782515,-4.053396015303846,-4.010957977679956
-4.779634756218531,-4.706083547920716,-4.6597785389411435,-4.6273173299848755,-4.596918490588535,-4.562346836832019,-4.540332580730417,-4.450343615957684,-4.399039541019131,-4.349315384376702,-4.303122343538608,-4.24851567986375,-4.189582314751195,-4.114898012422097,-4.050577105610312,-4.00822298347012
-4.776660798674374,-4.703106701109407,-4.656806592065448,-4.624334505602412,-4.593994366309698,-4.559412025211611,-4.537473186055927,-4.447370991577698,-4.396090346828292,-4.346365182811003,-4.300224758348726,-4.245618015395011,-4.186682459439821,-4.112002708647488,-4.04768122407703,-4.005409793148488
-4.7736033750581655,-4.700051460508738,-4.653756768957621,-4.62127458183621,-4.590992827844638,-4.556398992913737,-4.5345361587807185,-4.444319899317012,-4.39306422214638,-4.343336045562456,-4.297249167884684,-4.2426422030501225,-4.183703982184019,-4.10902779209744,-4.044705485711049,-4.002515598513692
-4.770460126752623,-4.696915224263629,-4.650626593653005,-4.618135141754676,-4.587911671255965,-4.553305555662023,-4.531519290462377,-4.441188120971087,-4.389958381588839,-4.340225359149101,-4.294192797703462,-4.239585376157514,-4.180643975943283,-4.105970379214965,-4.041647005519416,-3.9995375913643603
-4.767228695140465,-4.693695390518994,-4.647413590186945,-4.614913768426224,-4.584748692606282,-4.5501295291800865,-4.528420372658496,-4.43797343833538,-4.386770039771112,-4.33703051008898,-4.291052873362035,-4.2364446680456185,-4.177499533677102,-4.102827586443075,-4.038502898509183,-3.9964729634991216
-4.763906721604413,-4.690389357419751,-4.644115282594793,-4.61160804491926,-4.581501687958203,-4.54686872919155,-4.525237196926658,-4.434673633205351,-4.383496411308648,-4.333748884900134,-4.287826620417387,-4.233217212042861,-4.174267748344967,-4.099596530224784,-4.0352702796873965,-3.9933189067166097
-4.760491847527186,-4.68699452311082,-4.6407291949118905,-4.6082155543021965,-4.57816845337433,-4.543520971420034,-4.521967554824456,-4.4312864873764575,-4.380134710816889,-4.330377870100606,-4.284511264426494,-4.229900141477677,-4.170945712906371,-4.096274327003104,-4.031946264061105,-3.990072612815454
-4.756981714291504,-4.683508285737116,-4.637252851173584,-4.604733879643439,-4.574746784917274,-4.540084071589163,-4.518609237909477,-4.427809782644157,-4.3766821529112825,-4.3269148522084375,-4.281104030946337,-4.226490589678494,-4.167530520320805,-4.092858093221045,-4.0285279666373555,-3.9867312735942817
-4.753373963280087,-4.6799280434435575,-4.633683775415223,-4.6011606040114,-4.571234478649643,-4.536555845422554,-4.515160037739309,-4.424241300803911,-4.373135952207271,-4.323357217741668,-4.27760214553389,-4.222985689973743,-4.164019263547762,-4.089344945321623,-4.0250125024232,-3.983292080851725
