Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23
-4.799497026490757,-4.7330890956744325,-4.689721054284127,-4.659692976828367,-4.613069793506391,-4.578069600705879,-4.542802318793,-4.387688044310699,-4.112375199283854,-3.914366772604615,-3.933903122022441
-4.797483345877288,-4.731008017154388,-4.687626088571716,-4.657569220733846,-4.610913663146817,-4.575851451424048,-4.540731156946033,-4.385488992696801,-4.110091553308062,-3.9120741289470855,-3.9315441069289703
-4.79541970039666,-4.728878801620159,-4.685483942840079,-4.655401889266222,-4.608714350995161,-4.573595766638905,-4.538609403496028,-4.3832433381164435,-4.107770699896506,-3.9097421715377623,-3.929150942139746
-4.793303835154934,-4.726699270757705,-4.683292442160711,-4.6531886310308845,-4.606469451206762,-4.5712997277406195,-4.536434988134059,-4.380948447384665,-4.105409400267639,-3.9073677937486706,-3.926720279448741
-4.791133495258176,-4.7244672462529795,-4.681049411605104,-4.650927094633224,-4.604176557936962,-4.568960516119362,-4.534205840551194,-4.378601687316514,-4.103004415639922,-3.9049478889518356,-3.9242487706499283
-4.788906425812445,-4.722180549791939,-4.678752676244751,-4.6486149286786285,-4.601833265341099,-4.566575313165308,-4.531919890438512,-4.376200424727027,-4.10055250723181,-3.9024793505192794,-3.9217330675372817
-4.786620371923807,-4.719837003060538,-4.676400061151146,-4.6462497817724895,-4.599437167574515,-4.5641413002686235,-4.529575067487082,-4.373742026431251,-4.098050436261759,-3.8999590718230275,-3.919169821904774
-4.784273078698324,-4.717434427744732,-4.67398939139578,-4.643829302520197,-4.596985858792546,-4.561655658819484,-4.527169301387982,-4.3712238592442265,-4.095494963948228,-3.8973839462351028,-3.91655568554638
-4.781862291242058,-4.714970645530477,-4.67151849205015,-4.6413511395271385,-4.594476933150533,-4.559115570208056,-4.524700521832279,-4.368643289980999,-4.092882851509674,-3.8947508671275295,-3.913887310256073
-4.779385754661072,-4.712443478103729,-4.668985188185746,-4.638812941398706,-4.591907984803815,-4.556518215824516,-4.522166658511052,-4.36599768545661,-4.090210860164552,-3.8920567278723324,-3.911161347827827
-4.77684121406143,-4.709850747150443,-4.666387304874063,-4.636212356740289,-4.589276607907733,-4.553860777059033,-4.51956564111537,-4.363284412486103,-4.087475751131323,-3.889298421841536,-3.9083744500556152
-4.7742264145491955,-4.707190274356574,-4.663722667186595,-4.633547034157277,-4.586580396617627,-4.551140435301779,-4.516895399336309,-4.36050083788452,-4.084674285628438,-3.8864728424071617,-3.9055232687334125
