Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_29,Q_dch_interp_31,Q_dch_interp_33
-4.805564815853966,-4.780926898029911,-4.763350439489408,-4.7482700243246825,-4.724881780007698,-4.707510361513489,-4.699049846620774,-4.659091017490489,-4.6312366246539725,-4.607713425989953,-4.5832292146648195,-4.5438122747507235,-4.522837659960316,-4.505814765201252,-4.491853076332301,-4.489793434681635
-4.80353700996169,-4.7788636617484475,-4.761349196936236,-4.746278491537843,-4.722952112476972,-4.705609721107275,-4.697216317734645,-4.65727238147122,-4.629430497746784,-4.605910723797859,-4.581459144752545,-4.541949654335026,-4.520889692234609,-4.503889240723353,-4.490013904432946,-4.4880714306510905
-4.801459431549308,-4.776760255750736,-4.759303985633411,-4.744244557344053,-4.720975286824708,-4.703663736724891,-4.695337668884453,-4.655408725438862,-4.627580321380923,-4.6040671493215735,-4.57964805729576,-4.540043926845832,-4.51890937990991,-4.501933069454983,-4.488133909033324,-4.486312097355045
-4.799329792855501,-4.774613966798576,-4.757212330838345,-4.742165704540102,-4.718949111990736,-4.701670131700865,-4.69341164979585,-4.653497859930017,-4.62568389579782,-4.602180378459766,-4.57779364126385,-4.538092833509044,-4.5168939275195985,-4.4999433526156745,-4.486210718033539,-4.4845129659282374
-4.797145806118957,-4.7724220816537635,-4.755071757808452,-4.740039415922777,-4.716871396914892,-4.69962662936973,-4.691436010194487,-4.651537595481281,-4.623739021238905,-4.600248087111101,-4.575893585626197,-4.536094115550568,-4.514840539597057,-4.497917191424956,-4.48424195933369,-4.482671567505415
-4.794905183578355,-4.770181887078096,-4.752879791801136,-4.737863174288869,-4.714739950537008,-4.697530953066016,-4.6894084998060155,-4.649525742629254,-4.621743497945613,-4.598267951174243,-4.573945579352188,-4.534045514196306,-4.512746420675666,-4.495851687102357,-4.48222526083388,-4.4807854332213175
-4.792605637472376,-4.767890669833371,-4.750633958073813,-4.7356344624351605,-4.712552581796914,-4.695380826124251,-4.687326868356091,-4.647460111910536,-4.619695126159372,-4.596237646547857,-4.571947311411206,-4.531944770672161,-4.510608775288803,-4.493743940867408,-4.480158250434217,-4.478852094210691
-4.790244880039708,-4.765545716681385,-4.748331781883892,-4.733350763158444,-4.710307099634445,-4.693173971878966,-4.685188865570361,-4.645338513861726,-4.61759170612162,-4.594154849130609,-4.569896470772634,-4.529789626204037,-4.508424807969851,-4.491591053939644,-4.478038556034799,-4.4768690816082755
-4.787820623519032,-4.763144314383935,-4.745970788488783,-4.731009559255508,-4.708001312989432,-4.69090811366469,-4.682992241174482,-4.643158759019422,-4.615431038073783,-4.592017234821161,-4.567790746405862,-4.527577822017839,-4.50619172325219,-4.489390127538591,-4.475863805535733,-4.474833926548815
-4.785330580149028,-4.76068374970282,-4.7435485031459,-4.728608333523138,-4.705633030801709,-4.688580974815955,-4.680734744894104,-4.640918657920222,-4.613210922257297,-4.58982247951818,-4.5656278272802675,-4.525307099339467,-4.503906725669199,-4.4871382628837795,-4.4736316268371175,-4.472744160167054
-4.782772462168382,-4.758161309399834,-4.74106245111265,-4.726144568758125,-4.703200062011107,-4.68619027866729,-4.678414126454879,-4.638616021100727,-4.61092915891359,-4.58756825912033,-4.563405402365239,-4.522975199394829,-4.501567019754259,-4.484832561194742,-4.4713396478390575,-4.470597313597735
-4.780143981815774,-4.755574280236776,-4.738510157646445,-4.723615747757255,-4.700700215557459,-4.683733748553226,-4.676028135582459,-4.636248659097536,-4.608583548284097,-4.585252249526275,-4.561121160630162,-4.520579863409825,-4.49916981004075,-4.4824701236910105,-4.468985496441658,-4.4683909179756
-4.777442851329891,-4.752919948975442,-4.7358891480046985,-4.721019353317315,-4.698131300380598,-4.68120910780829,-4.6735745220024985,-4.633814382447247,-4.60617189061025,-4.5828721266346815,-4.558772791044417,-4.518118832610362,-4.496712301062053,-4.480048051592109,-4.466566800545018,-4.466122504435395
-4.774666782949413,-4.750195602377631,-4.733196947444816,-4.718352868235097,-4.695491125420355,-4.6786140797670175,-4.671051035440646,-4.631311001686458,-4.603691986133478,-4.580425566344216,-4.55635798257739,-4.5155898482223416,-4.494191697351548,-4.477563446117574,-4.464081188049243,-4.46378960411186
