Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_29,Q_dch_interp_31,Q_dch_interp_33
-4.782732795265158,-4.743022854511033,-4.7060462616049925,-4.6914721831377655,-4.64143393030815,-4.627219581791578,-4.623965544211605,-4.553723354723955,-4.525809326328588,-4.496230044204207,-4.469127961302183,-4.431049246350844,-4.408995357282025,-4.3753838317320435,-4.34915908656171,-4.320682737671052
-4.7807333614997,-4.7409561549497745,-4.7039890929219155,-4.689385485150905,-4.63930377365351,-4.62508934318769,-4.62189400584578,-4.551559390415758,-4.523592597319243,-4.494023292477696,-4.46695085920267,-4.42885409352329,-4.406862052797653,-4.373187376637346,-4.346974501712897,-4.3186026694870545
-4.778682002863172,-4.738839897227544,-4.701882629316702,-4.687253735154303,-4.637131305762099,-4.62291286859676,-4.619779003129493,-4.549358186477151,-4.521340703260821,-4.491779837268325,-4.464737836318488,-4.426619636139531,-4.404680868872559,-4.370952105158817,-4.344748843286455,-4.316483192211227
-4.776576607726263,-4.736671929260765,-4.699724822596641,-4.685074707760694,-4.63491423340317,-4.620688039856631,-4.617618254048112,-4.547117190697609,-4.519050963206137,-4.489497034680274,-4.462486174742026,-4.424343332619107,-4.402449578866243,-4.3686753879935845,-4.342479545989095,-4.314321701000532
-4.77441506445966,-4.734450098965854,-4.697513624569022,-4.682846177582815,-4.632650263345975,-4.618412738805155,-4.615409476586998,-4.544833850866606,-4.516720696208011,-4.4871722408177055,-4.460193156565667,-4.422022641381556,-4.400165956138207,-4.366354595838776,-4.340164044527529,-4.312115591011942
-4.772195261434056,-4.732172254259232,-4.69524698704113,-4.680565919233398,-4.630337102359775,-4.616084847280171,-4.6131503887315235,-4.542505614773615,-4.514347221319255,-4.484802811784793,-4.457856063881795,-4.419655020846415,-4.397827774047956,-4.363987099391517,-4.337799773608463,-4.309862257402416
-4.7699150870201406,-4.729836243057321,-4.6929228618202545,-4.678231707325184,-4.627972457213821,-4.613702247119527,-4.610838708467054,-4.540129930208109,-4.511927857592688,-4.482386103685704,-4.455472178782794,-4.417237929433222,-4.395432805954991,-4.361570269348936,-4.3353841679386145,-4.307559095328925
-4.7675724295886015,-4.727439913276538,-4.690539200713684,-4.675841316470902,-4.625554034677366,-4.611262820161068,-4.608472153778956,-4.5377042449595635,-4.509459924081128,-4.479919472624613,-4.45303878336105,-4.414768825561517,-4.392978825218818,-4.359101476408161,-4.332914662224688,-4.305203499948434
-4.765165177510132,-4.724981112833307,-4.6880939555287044,-4.6733925212832945,-4.623079541519669,-4.608764448242642,-4.606048442652598,-4.53522600681745,-4.506940739837385,-4.47740027470569,-4.450553159708946,-4.412245167650837,-4.390463605198938,-4.356578091266317,-4.330388691173399,-4.302792866417909
-4.7626912191554185,-4.722457689644044,-4.685585078072605,-4.67088309637509,-4.620546684509981,-4.606205013202091,-4.603565293073345,-4.532692663571241,-4.504367623914283,-4.474825866033101,-4.448012589918868,-4.4096644141207175,-4.387884919254852,-4.35399748462053,-4.3278036894914536,-4.300324589894317
