Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15
-4.321479047506337,-4.234935856900443,-4.182337375962465,-4.141170848544048,-4.0621731343924115,-3.987262484680634,-3.898832732603285,-3.5766639743168227
-4.308824030284793,-4.221973525073594,-4.1701055583862985,-4.129217298157721,-4.0500810898040145,-3.975295262630952,-3.8865464599278585,-3.56373675862262
-4.295927965104988,-4.208832575416323,-4.157639183478421,-4.117023390619134,-4.03769618267192,-3.9629831836367013,-3.873902168721936,-3.5504195903295375
-4.282772177936938,-4.195499630282021,-4.144929939607698,-4.104559421128677,-4.025039282093312,-3.9502993049808217,-3.8608774769465484,-3.536699226875825
-4.2693061279206495,-4.18194309651204,-4.131947313201323,-4.0917954575405515,-4.012131257165371,-3.9372166839462563,-3.8474500025627325,-3.522562395396072
-4.255477318779282,-4.16813132097342,-4.118660161271421,-4.078701567708958,-3.99899281599847,-3.923708377815945,-3.833597363531517,-3.507986636075558
-4.241233254235996,-4.154032650533216,-4.10503734083012,-4.065247819488093,-3.9856114857077727,-3.9097474438728286,-3.8192971778139366,-3.492927432875717
-4.226521438013949,-4.139615432058467,-4.091047708889543,-4.05140428073216,-3.9719012225514008,-3.895306939399849,-3.8045265054799877,-3.4773370278172107
-4.211289373836301,-4.124848012416224,-4.076660122461815,-4.0371410192953565,-3.9577660991218133,-3.8803599216799456,-3.7892451642947056,-3.461167662920705
-4.19548456542621,-4.109698738473533,-4.061843438559061,-4.022428103031885,-3.9431101880114694,-3.8648754645529078,-3.7733928518502173,-3.4443715802068606
-4.179054516506838,-4.094135957097439,-4.046566514193405,-4.007235599795943,-3.9278377252058534,-3.848801243710828,-3.7569081279716783,-3.426901021696342
-4.161946730801344,-4.078127388708041,-4.030798206376973,-3.991529215674104,-3.9118599490691612,-3.832077780685979,-3.7397295524842513,-3.408708229409813
-4.144108556207303,-4.0616076168385975,-4.014497705958672,-3.9752217481537886,-3.895097589593471,-3.8146455919451503,-3.721795685213092,-3.3897454453679368
-4.125480482635771,-4.044462270184215,-3.997569584814171,-3.9581907840660246,-3.877472052496662,-3.7964451939551362,-3.7030450859833586,-3.369978179032258
-4.105993598459811,-4.026573035586032,-3.979899250219371,-3.9403132731014843,-3.858904743496609,-3.7774171031827226,-3.6834163146202084,-3.3494258250265596
-4.085578311593995,-4.007821599885187,-3.9613720886807537,-3.9214661649508433,-3.8393170683111895,-3.757501836094706,-3.6628500934958708,-3.328121456237187
-4.064165489485174,-3.988089649922819,-3.9418734867047944,-3.9015345575925515,-3.8186304326582796,-3.7366399091578746,-3.641321404635396,-3.306098145552249
-4.041732071641195,-3.967258872540066,-3.921288830797972,-3.8804405091189826,-3.796766242255756,-3.7147749381879533,-3.6188326108943407,-3.2833889658598574
-4.018339759605314,-3.9452109545780685,-3.899503507466766,-3.8581165518152374,-3.773651134561345,-3.6918845529518536,-3.5953868402109332,-3.2600267587296967
-3.9940575071015303,-3.9218341872349627,-3.876402977133058,-3.834505136995727,-3.7493677013611437,-3.667967406878779,-3.570987220523394,-3.2360242195082427
-3.9688254636336353,-3.8971576496772986,-3.851919230809776,-3.809638244044238,-3.7241772964578717,-3.6430224646517333,-3.5456368797699467,-3.2113585533259608
-3.9423735134333437,-3.8713452990414443,-3.8261103167190345,-3.7835953430649694,-3.6983300518395588,-3.6170486909537227,-3.5193523350848936,-3.186003353245034
-3.914413202077967,-3.844565158112302,-3.7990554227359827,-3.7564563401876803,-3.671819775348272,-3.590045074172842,-3.492272719346303,-3.1599322123276474
-3.884889638215351,-3.8168580342449565,-3.7708337367357663,-3.728301141542123,-3.644469164713007,-3.5620319949731285,-3.464602145392949,-3.133118723635979
