Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13
-4.710803618843992,-4.577731689567718,-4.50536271631636,-4.451323441785727,-4.328931284775327,-4.065011721157815,-3.5462201586190294
-4.706185000890666,-4.573150279905925,-4.500764642228668,-4.446708945602217,-4.324220293030137,-4.0603568719311145,-3.541909293570587
-4.701446132911675,-4.56845191055241,-4.496047827357618,-4.441975011500878,-4.31938532017298,-4.055581567366745,-3.5374920495416164
-4.696584745012535,-4.563634147570042,-4.4912097100522335,-4.437119030309451,-4.314423495768985,-4.0506831599122695,-3.5329666565834685
-4.6915985672987555,-4.558694557021692,-4.486247728661536,-4.432138392855677,-4.309331949383269,-4.045659002015245,-3.528331344747494
-4.68648532987585,-4.553630704970226,-4.481159321534551,-4.427030489967298,-4.304107810580963,-4.040506457440322,-3.523584344085045
-4.681242762849333,-4.548440157478513,-4.475941963992371,-4.421792728907813,-4.298748243278712,-4.0352233405441496,-3.5187238846474727
-4.6758685963247135,-4.543120568412091,-4.47059431924964,-4.416423349945874,-4.2932513772493905,-4.029808057249361,-3.5137481964861292
-4.670360560407504,-4.537671058928371,-4.46511646311331,-4.410921803398027,-4.287616417216593,-4.024259053647013,-3.5086555096523644
-4.6647165344256205,-4.532091963756318,-4.459508553725398,-4.405287634736196,-4.281842624152696,-4.018574775828164,-3.5034440541975305
-4.658936090811593,-4.526383654109463,-4.453770749227919,-4.399520389432289,-4.275929259030073,-4.012753669883872,-3.4981120601729794
-4.6530198748866445,-4.520546501201333,-4.447903207762893,-4.393619612958232,-4.2698755828211015,-4.0067941819051915,-3.492657757630061
-4.646968549000165,-4.514580876245466,-4.4419060874723355,-4.38758485078594,-4.263680856498154,-4.000694757983182,-3.4870793766201285
-4.640782775501539,-4.5084871504553865,-4.4357795464982654,-4.381415648387331,-4.257344341033607,-3.9944538442089024,-3.4813751471945316
-4.634463216740154,-4.502265695044627,-4.429523742982697,-4.375111551234325,-4.250865297399838,-3.9880698866734052,-3.4755432994046234
-4.628010535065395,-4.495916881226719,-4.423138835067652,-4.368672104798836,-4.24424298656922,-3.981541331467751,-3.4695820633017544
-4.62142539282665,-4.489441080215192,-4.416624980895143,-4.362096854552786,-4.2374766695141295,-3.9748666246829973,-3.463489668937276
-4.614708452373306,-4.4828386632235775,-4.409982338607189,-4.355385345968092,-4.230565607206941,-3.9680442124101996,-3.4572643463625394
-4.607860376054748,-4.476110001465407,-4.403211066345808,-4.348537124516668,-4.223509060620031,-3.961072540740415,-3.4509043256288954
-4.600881826220362,-4.469255466154208,-4.396311322253015,-4.341551735670437,-4.216306290725774,-3.9539500557647034,-3.444407836787697
-4.593773465219536,-4.462275428503516,-4.389283264470831,-4.334428724901316,-4.208956558496546,-3.946675203574119,-3.437773109890294
-4.586535955401656,-4.4551702597268585,-4.382127051141269,-4.327167637681221,-4.201459124904721,-3.9392464302597197,-3.430998374988039
-4.5791699591161095,-4.447940331037766,-4.374842840406348,-4.319768019482072,-4.193813250922676,-3.9316621819125643,-3.4240813825159413
-4.57167613871228,-4.440586013649771,-4.367430790408086,-4.312229415775785,-4.1860181975227855,-3.9239209046237096,-3.4170167033875285
-4.564055156539557,-4.433107678776403,-4.3598910592885,-4.304551372034279,-4.178073225677426,-3.9160210444842107,-3.409797614756274
-4.556307674947325,-4.425505697631192,-4.352223805189606,-4.296733433729472,-4.1699775963589705,-3.907961047585128,-3.4024173900124026
-4.5484343562849725,-4.41778044142767,-4.344429186253423,-4.288775146333283,-4.161730509808982,-3.8997395353239086,-3.39486930254614
-4.540435862901885,-4.409932281379369,-4.336507360621965,-4.280675526846612,-4.153328840799,-3.8913562954901266,-3.387146625747712
-4.532312857147448,-4.401961588699818,-4.328458486411258,-4.272430465658052,-4.144766463577183,-3.882811592046611,-3.3792426330073404
-4.5240660013710485,-4.393868589467903,-4.320280161888158,-4.264034707516824,-4.13603705389511,-3.874105690366542,-3.371150597715253
-4.515695679811482,-4.385645110626926,-4.311960403393745,-4.255482995444698,-4.127134287504359,-3.865238855823106,-3.3628637932616736
-4.507187507032092,-4.377270135061674,-4.303484985728457,-4.246770072463446,-4.118051840156518,-3.856211353789486,-3.3543754930368266
-4.4985052436725415,-4.3687215609496075,-4.294839683692741,-4.237890681594835,-4.108783387603164,-3.8470234496388653,-3.3456789704309373
-4.489610886874168,-4.359977286468187,-4.286010272087041,-4.228839565860638,-4.099322605595881,-3.837675408233419,-3.336767498834231
-4.480466433778316,-4.351015209794871,-4.276982525711799,-4.219611468282621,-4.089663169886247,-3.828164494749588,-3.327634351636932
-4.471033881526324,-4.341813229107124,-4.2677422193674595,-4.210201131882555,-4.079798756225847,-3.818477905927064,-3.318272802229266
-4.461275227259536,-4.332349242582404,-4.258275127854466,-4.200603160042524,-4.069723040366261,-3.808600728400191,-3.308676124001457
-4.451152468119289,-4.322601148398172,-4.248567025973261,-4.190809308791632,-4.059429698059072,-3.7985180488033103,-3.2988375903437306
-4.440627601246924,-4.312546886188236,-4.238604658511617,-4.180808675623779,-4.048912405055859,-3.788214953770767,-3.2887504746463105
-4.42966746387843,-4.302173587851591,-4.228381841357364,-4.1705902562124715,-4.038164837108203,-3.777676529936903,-3.2784080502994226
-4.418290642490906,-4.291489096242684,-4.217895521850827,-4.160143046231219,-4.027180669678577,-3.7668878742621774,-3.2678035906932914
-4.406547083455652,-4.2805040880880725,-4.207142661310393,-4.14945604135353,-4.0159533441188335,-3.7558347542393102,-3.256930369218143
-4.394487171859128,-4.269229240114306,-4.196120221054452,-4.138518237252915,-4.004475645468929,-3.7445040071012485,-3.2457816592642006
-4.3821612927877895,-4.257675229047939,-4.184825162401389,-4.127319191757898,-3.9927402446230302,-3.7328825657506104,-3.2343507342216897
-4.369619831328094,-4.245852731722238,-4.173254660820912,-4.115851138650009,-3.980739812475299,-3.7209573630900072,-3.2226308674808344
-4.356904134742455,-4.233772835339183,-4.161411493441453,-4.104107107087563,-3.9684670199199004,-3.7087153320220545,-3.2106153324318614
-4.3440156177462335,-4.221447966308989,-4.149304442634004,-4.0920801263592645,-3.9559145378510014,-3.696143405449369,-3.1982974024649944
-4.330944669778649,-4.208890823782533,-4.1369425857601225,-4.079763225753813,-3.9430750371627625,-3.6832285162745637,-3.1856667323463483
-4.317681679915041,-4.19611410691069,-4.124335000181375,-4.067149434559912,-3.929941188749351,-3.6699575974002565,-3.1726969605755118
-4.304217037230737,-4.1831305148443345,-4.111490763259324,-4.054231782066263,-3.9165056635049296,-3.656317581729059,-3.1593572959527743
-4.290541130801073,-4.169949122232192,-4.098411065189202,-4.041003297561565,-3.902761132323664,-3.642295075121358,-3.145616947124697
-4.276638406456712,-4.1565340265537,-4.085057848125066,-4.027457010334519,-3.8886999500961146,-3.627861419776873,-3.1314451227378384
-4.262447632352852,-4.1428188984836805,-4.0713808695220965,-4.013585949673832,-3.8742912986560567,-3.6129665139432086,-3.1168110314387603
-4.247886396960398,-4.128736834336086,-4.057329883056805,-3.9993831208105486,-3.8594657837275568,-3.5975586478090134,-3.101683881874023
-4.23287217272868,-4.114220930424878,-4.0428546424057,-3.9848254526285842,-3.8441503613173933,-3.5815861115629413,-3.086032882690184
-4.217322446297944,-4.099206918300545,-4.027903041619642,-3.969845952912803,-3.8282719874323448,-3.5649971953936443,-3.0698272425338065
