Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25
-4.742205196991287,-4.739011017474935,-4.732019679427458,-4.727671856477602,-4.724989704397421,-4.718116637124166,-4.697196759071693,-4.685258764584908,-4.688424152858032,-4.661801732656676,-4.651946268974463,-4.638937228874944,-4.601090703503647
-4.740244663653266,-4.737062455585072,-4.730080310790419,-4.725682518729516,-4.7230031663710825,-4.716119597549585,-4.695193087407575,-4.683216535594926,-4.6864225785585765,-4.65977756689526,-4.649917942411145,-4.637005658454148,-4.5992064077935115
-4.738253916207098,-4.7350738686208,-4.728100258612912,-4.723659194044846,-4.720975477936734,-4.714080870412316,-4.693145444808511,-4.681131143264638,-4.684369697460737,-4.6577057752267335,-4.647842918304443,-4.635021461326556,-4.597271519234255
-4.736230014161829,-4.733042905903434,-4.726077234452293,-4.721599148179129,-4.7189043205817045,-4.711998126688446,-4.691051655492409,-4.6790003154029165,-4.68226357381354,-4.655584286102697,-4.645719105219054,-4.6329827893025035,-4.595284205992537
-4.734170017026495,-4.730967216754281,-4.7240089498659215,-4.719499646887909,-4.716787375793323,-4.709869037354064,-4.688909543677178,-4.676821779818634,-4.680102271866005,-4.6534110279747525,-4.643544411719669,-4.6308877941923265,-4.5932426362350265
-4.732070984310138,-4.728844450494651,-4.721893116411154,-4.717357955926727,-4.714622325058913,-4.70769127338526,-4.686716933580721,-4.674593264320665,-4.677883855867151,-4.6511839292945,-4.641316746370989,-4.62873462780636,-4.591144978128385
-4.729929975521799,-4.726672256445854,-4.71972744564535,-4.715171341051128,-4.712406849865807,-4.705462505758122,-4.684471649420953,-4.672312496717878,-4.6756063900660045,-4.648900918513543,-4.639034017737705,-4.626521441954939,-4.588989399839278
-4.7277440501705215,-4.7244482839292,-4.717509649125868,-4.712937068016649,-4.71013863170133,-4.70318040544874,-4.682171515415781,-4.6699772048191495,-4.673267938711582,-4.646559924083483,-4.6366941343845145,-4.6242463884484,-4.586774069534369
-4.725510267765344,-4.722170182266,-4.715237438410066,-4.710652402578838,-4.707815352052814,-4.7008426434332025,-4.679814355783109,-4.667585116433347,-4.670866566052909,-4.644158874455924,-4.634295004876114,-4.621907619097074,-4.584497155380321
-4.72322568781531,-4.719835600777563,-4.712908525055303,-4.708314610493232,-4.70543469240758,-4.698446890687596,-4.6773979947408515,-4.665133959369345,-4.668400336339004,-4.641695698082466,-4.631834537777197,-4.6195032857113,-4.582156825543796
-4.720887369829457,-4.7174421887852,-4.7105206206189365,-4.705920957515376,-4.702994334252963,-4.695990818188011,-4.674920256506914,-4.662621461436017,-4.6658673138188895,-4.639168323414709,-4.62931064165246,-4.617031540101412,-4.579751248191463
-4.718492373316831,-4.7149875956102205,-4.708071436658324,-4.703468709400813,-4.700491959076288,-4.693472096910536,-4.672378965299204,-4.660045350442234,-4.663265562741585,-4.6365746789042595,-4.6267212250666,-4.614490534077744,-4.577278591489983
-4.716037757786468,-4.712469470573935,-4.705558684730826,-4.700955131905081,-4.697925248364883,-4.69088839783126,-4.669771945335631,-4.657403354196866,-4.660593147356114,-4.633912693002718,-4.62406419658431,-4.611878419450632,-4.574737023606017
-4.713520582747413,-4.709885462997653,-4.702980076393798,-4.6983774907837255,-4.6952918836060755,-4.688237391926271,-4.6670970208341025,-4.654693200508789,-4.657848131911498,-4.631180294161684,-4.621337464770288,-4.609193348030411,-4.572124712706235
-4.710937907708707,-4.707233222202685,-4.700333323204602,-4.695733051792289,-4.692589546287194,-4.685516750171658,-4.664352016012529,-4.651912617186873,-4.655028580656756,-4.628375410832762,-4.618538938189229,-4.606433471627416,-4.569439826957297
-4.70828679217939,-4.70451039751034,-4.697616136720594,-4.6930190806863115,-4.689815917895569,-4.6827241435435125,-4.661534755088818,-4.649059332039991,-4.652132557840912,-4.6254959714675525,-4.615666525405826,-4.603596942051984,-4.566680534525867
-4.7055642956685,-4.70171463824193,-4.694826228499133,-4.690232843221336,-4.6869686799185235,-4.679857243017918,-4.658643062280876,-4.646131072877014,-4.649158127712987,-4.62253990451766,-4.612718134984776,-4.600681911114449,-4.563845003578611
