Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25
-4.739877079006138,-4.753771921633906,-4.733886569802251,-4.728574672765383,-4.7212716005455,-4.7066807315460455,-4.7071928743049405,-4.677759042145903,-4.661044972614294,-4.634366214790077,-4.617763691666776,-4.607260702852945,-4.58361894344927
-4.737948375236882,-4.751810593807668,-4.731950886659819,-4.726621212027235,-4.7193105431747195,-4.704719312888976,-4.7053032235532966,-4.675888652216699,-4.659203572711184,-4.632529152798632,-4.615879081947138,-4.6054922115898735,-4.581897012826378
-4.735984324093172,-4.74980501185408,-4.729971737511495,-4.724625799892703,-4.717306161823917,-4.70271685108968,-4.703366842787398,-4.673969731238132,-4.657316540281158,-4.63064663509958,-4.613960676354398,-4.603680007720238,-4.580132006050384
-4.73398243606239,-4.747753025665075,-4.727946978266909,-4.722586201930687,-4.715256260701457,-4.700671016487276,-4.701381668952681,-4.672000365701256,-4.655381774528391,-4.628716602145169,-4.612005772757639,-4.60182191298993,-4.57832179913373
-4.731940221631929,-4.745652485132586,-4.725874464835684,-4.720500183710094,-4.7131586440157065,-4.698579479420889,-4.699345638994587,-4.669978642097123,-4.653397174657054,-4.626736994387651,-4.610011669025943,-4.599915749144845,-4.576464268088857
-4.7298551912891735,-4.743501240148547,-4.723752053127451,-4.718365510799824,-4.711011115975024,-4.696439910229639,-4.6972566898585475,-4.667902646916787,-4.65136063987132,-4.624705752279272,-4.607975663028395,-4.597959337930873,-4.574557288928202
-4.727724855521512,-4.741297140604892,-4.721577599051837,-4.716179948768781,-4.708811480787776,-4.69424997925265,-4.695112758490001,-4.665770466651304,-4.64927006937536,-4.622620816272286,-4.605895052634075,-4.595950501093912,-4.572598737664204
-4.725546724816334,-4.739038036393555,-4.719348958518468,-4.713941263185869,-4.706557542662324,-4.692007356829044,-4.692911781834389,-4.663580187791718,-4.647123362373348,-4.620480126818941,-4.603767135712072,-4.593887060379854,-4.570586490309304
-4.723318309661025,-4.73672177740647,-4.717063987436974,-4.711647219619988,-4.704247105807034,-4.689709713297943,-4.6906516968371434,-4.66132989682909,-4.644918418069455,-4.618281624371484,-4.601589210131463,-4.591766837534592,-4.568518422875941
-4.721037120542973,-4.734346213535569,-4.714720541716983,-4.709295583640043,-4.701877974430266,-4.6873547189984714,-4.688330440443704,-4.659017680254468,-4.642653135667857,-4.616023249382168,-4.599358573761333,-4.589587654304018,-4.566392411376553
