Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_29,Q_dch_interp_31,Q_dch_interp_33
-4.735901500694899,-4.722172036243713,-4.723230820468404,-4.708922287006838,-4.6831004520305335,-4.679651111730392,-4.67013112425544,-4.650270989965575,-4.6300456746186835,-4.61094286637359,-4.593803236914609,-4.576969136741422,-4.557693921837392,-4.53871349464228,-4.511086253296659,-4.496404942457613,-4.456960962424745
-4.733976684119817,-4.720224734019557,-4.721252204487416,-4.706960835486643,-4.6811837231641515,-4.677785044471113,-4.668277087579492,-4.648420072316452,-4.628248648198288,-4.609148207766336,-4.592028972610808,-4.575065685628613,-4.555812300352231,-4.536800618301135,-4.509170060233259,-4.4944993724400994,-4.455123865889019
-4.732010608028453,-4.718235098137491,-4.719231501320247,-4.704957625292372,-4.679220103273457,-4.67586624980734,-4.666370135640951,-4.646517797174907,-4.6263980546909345,-4.607302820650181,-4.590204502070941,-4.573128113928767,-4.553897004952153,-4.534859057761793,-4.507229106460936,-4.492571272141158,-4.453262636959509
-4.730001086059646,-4.716201005190668,-4.717166513461903,-4.702910470480467,-4.677207725966089,-4.673893036845557,-4.664408577769336,-4.644562403907593,-4.624492199572775,-4.605404887110082,-4.588327995197135,-4.571153936551018,-4.551945541137234,-4.53288610606922,-4.505260514863804,-4.490617659563935,-4.4513744337118935
-4.727945931852236,-4.714120331772249,-4.715055043407388,-4.700817185107374,-4.675144724849683,-4.671863714692253,-4.662390723294168,-4.642552131881179,-4.62252938831996,-4.6034525892309945,-4.586397621891507,-4.569140668404497,-4.549955414407546,-4.530879056268382,-4.5032614083259865,-4.488635552711586,-4.449456414221856
-4.7258429590450675,-4.711990954475389,-4.712894893651715,-4.698675583229532,-4.673029233531878,-4.669776592453915,-4.660314881544964,-4.64048522046232,-4.620507926408636,-4.60144410909787,-4.584411552056184,-4.567085824398333,-4.547924130263159,-4.5288352014042434,-4.501228909731597,-4.4866219695872624,-4.447505736565076
-4.723689981276978,-4.709810749893245,-4.7106838666898865,-4.6964834789033905,-4.670859385620309,-4.667629979237026,-4.65817936185124,-4.638359909017679,-4.618426119314956,-4.5993776287956685,-4.582367955593289,-4.564986919441662,-4.545849194204148,-4.526751834521774,-4.499160141964756,-4.484573928194111,-4.445519558817235
-4.72148481218681,-4.707577594618976,-4.70841976501691,-4.694238686185385,-4.668633314722614,-4.665422184148078,-4.65598247354252,-4.636174436913918,-4.616282272515068,-4.597251330409343,-4.580265002404944,-4.562841468443613,-4.543728111730589,-4.524626248665941,-4.497052227909585,-4.48248844653529,-4.443495039054016
-4.719225265413403,-4.705289365245736,-4.706100391127797,-4.691939019131967,-4.666349154446432,-4.663151516293548,-4.653722525948318,-4.633927043517692,-4.614074691485122,-4.59506339602385,-4.578100862393272,-4.560646986313322,-4.54155838834255,-4.522455736881705,-4.494902290450199,-4.4803625426139435,-4.441429335351101
-4.716909154595599,-4.702943938366684,-4.703723547517551,-4.689582291799574,-4.664005038399398,-4.660816284779932,-4.651397828398152,-4.631615968195667,-4.61180168170127,-4.5928120077241426,-4.575873705460398,-4.558400987959915,-4.5393375295401075,-4.520237592214038,-4.492707452470715,-4.47819323443323,-4.439319605784166
