Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_31
-4.748146543431607,-4.703758966114304,-4.67019614524319,-4.643876909527114,-4.610233912172988,-4.587049999672374,-4.5642950844698875,-4.524474166344661,-4.489263857230477,-4.458235340883072,-4.422674443401886,-4.3967017289661765,-4.366538758384767,-4.339651100103493,-4.288407446165247
-4.745667955636775,-4.701274512516756,-4.667724836430156,-4.641415009918358,-4.607784798675089,-4.584620686821576,-4.561890978850029,-4.5220969670880296,-4.486915099620751,-4.455900007828097,-4.420334670901841,-4.394382264909136,-4.364240485054538,-4.337362793322585,-4.286210552939864
-4.743123361118962,-4.698726218428497,-4.6651875404689225,-4.6388880763597715,-4.605270982669275,-4.582126852013274,-4.559422783788306,-4.519662430233746,-4.4845087989187125,-4.453508016815023,-4.417938819097292,-4.3920032823525865,-4.361882123617899,-4.33501493789708,-4.28395786081011
-4.740510545769896,-4.696111995817681,-4.662582499752422,-4.636294364659232,-4.60269072871505,-4.579566713467208,-4.556888661830898,-4.51716817224218,-4.482042531843876,-4.45105678519776,-4.415484207609195,-4.389562323709529,-4.359461225275431,-4.332605016244069,-4.281646616507284
-4.737827295481306,-4.693429756652466,-4.659907956673579,-4.633632130624618,-4.600042301371925,-4.576938489403116,-4.554286775523985,-4.514611809573705,-4.479513875115754,-4.448543730330217,-4.412968156058506,-4.387056931392962,-4.356975341227714,-4.330130510780632,-4.279274066762683
-4.735071396144921,-4.690677412901006,-4.657162153625326,-4.630899630063808,-4.597323965199409,-4.574240398040745,-4.551615287413741,-4.5119909586886875,-4.47692040545386,-4.445966269566308,-4.410387984066184,-4.384484647815886,-4.3544220226753305,-4.327588903923853,-4.276837458307606
-4.732240633652464,-4.687852876531457,-4.65434333300059,-4.628095118784681,-4.5945339847570095,-4.571470657599824,-4.548872360046348,-4.509303236047496,-4.474259699577708,-4.443321820259941,-4.407741011253182,-4.381843015391299,-4.3517988208188605,-4.324977678090813,-4.2743340378733485
-4.729332793895669,-4.684954059511975,-4.651449737192297,-4.625216852595113,-4.591670624604236,-4.568627486300103,-4.546056155967982,-4.506546258110502,-4.471529334206809,-4.440607799765027,-4.40502455724046,-4.3791295765322005,-4.3491032868588855,-4.322294315698597,-4.271761052191208
-4.7263456627662634,-4.681978873810716,-4.648479608593378,-4.622263087302985,-4.588732149300597,-4.565709102361316,-4.543164837724821,-4.503717641338075,-4.468726886060678,-4.437821625435478,-4.402235941648971,-4.376341873651593,-4.346332971995984,-4.319536299164287,-4.269115747992486
-4.723277026155973,-4.6789252313958345,-4.645431189596761,-4.619232078716173,-4.5857168234056,-4.562713724003204,-4.540196567863044,-4.500815002190583,-4.465849931858829,-4.434960714625204,-4.399372484099675,-4.373477449162471,-4.343485427430737,-4.316701110904968,-4.266395372008475
-4.720124669956526,-4.675791044235487,-4.642302722595375,-4.6161220826425575,-4.582622911478756,-4.559639569445507,-4.537149508928827,-4.497835957128399,-4.462896048320776,-4.432022484688118,-4.396431504213525,-4.370533845477838,-4.34055820436373,-4.313786233337723,-4.263597170970476
