Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_29,Q_dch_interp_31,Q_dch_interp_33
-4.77497818871474,-4.728973553771782,-4.726011867759355,-4.7099752701932545,-4.6865520915346535,-4.674039987697023,-4.659840594854114,-4.628718844746307,-4.604553921994293,-4.582341738041762,-4.5644489370133075,-4.542111265496424,-4.521207672872285,-4.4993594305486235,-4.470967048292278,-4.453180699188474,-4.428694447173534
-4.7729953231824656,-4.726963660773019,-4.724035522126101,-4.7079976581110765,-4.684637225489437,-4.672156799738069,-4.65795291371683,-4.62690363269015,-4.6027536761860555,-4.580557112957546,-4.562563994893849,-4.540340257575231,-4.519468785206764,-4.497617695337516,-4.469216408430513,-4.451470794656949,-4.426909413567683
-4.770972650016331,-4.724917455426339,-4.722020098805917,-4.7059822648669325,-4.682678677004175,-4.670226621218089,-4.656021084796536,-4.625039158387347,-4.600905997830367,-4.578726323559373,-4.560646075309088,-4.53852639210354,-4.517686370709125,-4.495834311038405,-4.467427394662587,-4.449721125694153,-4.42510366030104
-4.768907756541612,-4.722832519928969,-4.719963260079599,-4.70392672952095,-4.680674387809548,-4.668247546527685,-4.65404309000092,-4.623123619151729,-4.599009012139676,-4.5768474339794905,-4.558692703681995,-4.536667601649262,-4.515858378969134,-4.494007152522852,-4.465597757280799,-4.4479294752003025,-4.423274285076822
-4.766798230083578,-4.720706436478128,-4.717862668227946,-4.701828691133252,-4.67862229963624,-4.666217670057463,-4.65201691123767,-4.6211552122971264,-4.597060844326429,-4.5749185083501445,-4.556701405435538,-4.534761818780309,-4.51398275957656,-4.492134094662414,-4.463725246577451,-4.446093626075607,-4.421418385598259
-4.764641657967502,-4.718536787271043,-4.715715985531759,-4.699685788763961,-4.676520354214937,-4.664135086198024,-4.649940530414473,-4.6191321351373675,-4.595059619603079,-4.572937610803585,-4.55466970599269,-4.532806976064591,-4.51205746212117,-4.490213012328655,-4.461807612844851,-4.444211361220285,-4.419533059568578
-4.762435627518661,-4.716321154504935,-4.713520874271834,-4.697495661473204,-4.674366493276319,-4.661997889339968,-4.647811929439018,-4.617052584986285,-4.593003463182072,-4.5709028054720555,-4.552595130776417,-4.530801006070018,-4.510080436192733,-4.488241780393133,-4.4598426063753,-4.442280463534547,-4.417615404691005
-4.760177726062325,-4.71405712037703,-4.71127499672897,-4.6952559483211065,-4.6721586585510755,-4.659804173873901,-4.645629090218992,-4.614914759157704,-4.590890500275855,-4.568812156487807,-4.550475205209695,-4.528741841364498,-4.508049631381017,-4.486218273727406,-4.4578279774611,-4.440298715918608,-4.415662518668766
-4.757865540923766,-4.711742267084547,-4.708976015183968,-4.69296428836779,-4.669894791769887,-4.657552034190425,-4.643389994662085,-4.612716854965464,-4.588718856096882,-4.566663727983086,-4.548307454715489,-4.526627414515945,-4.50596299727579,-4.484140367203037,-4.455761476394556,-4.438263901272684,-4.4136714992050905
-4.755496659428258,-4.709374176824712,-4.706621591917625,-4.690618320673383,-4.667572834663436,-4.655239564680141,-4.64109262467598,-4.610457069723384,-4.586486655857598,-4.564455584090137,-4.546089404716772,-4.524455658092267,-4.5038184834668185,-4.482005935691585,-4.453640853467973,-4.436173802496986,-4.4116394440032005
