Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25
-4.767767139349094,-4.778112561729548,-4.769130495969026,-4.762028033014322,-4.749226473177487,-4.738381991568136,-4.734876774012891,-4.712978131521668,-4.694413783568208,-4.677516893371368,-4.665099158014029,-4.6465367034502245,-4.610550429493483
-4.7652951914781925,-4.775527448915333,-4.766548111217583,-4.7594497055027505,-4.7466323343146675,-4.735811956808628,-4.7323314832308006,-4.710432073303808,-4.691857901830502,-4.674995906363727,-4.6626200708664,-4.644073315875103,-4.608115755099576
-4.76275924086474,-4.77287447499881,-4.763898030345492,-4.7568040785627845,-4.743968920217258,-4.733171292247286,-4.729719103434847,-4.707818192409963,-4.689234657140512,-4.672412254375361,-4.660078063565406,-4.64154646797953,-4.6056165094752854
-4.7601566796559585,-4.7701513791278956,-4.7611780729307265,-4.754088787250157,-4.7412342754674714,-4.7304581312823535,-4.7270373914272135,-4.70513436075947,-4.68654188547504,-4.669763404550175,-4.6574706404520105,-4.63895379058954,-4.603050516783532
-4.757484899999071,-4.7673559004505055,-4.758386058551257,-4.751301466620598,-4.7384264446475255,-4.727670607312072,-4.724284104010088,-4.70237845027166,-4.683777422810887,-4.667046824032082,-4.65479530586718,-4.636292914531164,-4.600415601187234
-4.754741294041292,-4.764485778114556,-4.755519806785056,-4.748439751729843,-4.735543472339631,-4.724806853734687,-4.7214569979856496,-4.699548332865876,-4.680939105124857,-4.664259979964988,-4.652049564151878,-4.633561470630431,-4.5977095868493105
-4.751923253929847,-4.761538751267963,-4.7525771372100944,-4.745501277633618,-4.732583403126004,-4.721865003948439,-4.7185538301560825,-4.696641880461453,-4.678024768393752,-4.661400339492801,-4.6492309196470725,-4.630757089713371,-4.594930297932681
-4.749028171811958,-4.758512559058643,-4.749555869404346,-4.742483679387663,-4.729544281588857,-4.7188431913515725,-4.7155723573235715,-4.693656964977727,-4.675032248594378,-4.658465369759434,-4.6463368766937245,-4.627877402606019,-4.592075558600262
-4.746053439834842,-4.755404940634511,-4.746453822945778,-4.739384592047704,-4.726424152310403,-4.7157395493423335,-4.712510336290296,-4.690591458334034,-4.6719593817035365,-4.655452537908792,-4.643364939632801,-4.624920040134404,-4.589143193014975
-4.742996450145723,-4.752213635143481,-4.743268817412367,-4.736201650669474,-4.723221059872859,-4.71255221131896,-4.709365523858444,-4.687443232449713,-4.66880400369803,-4.652359311084783,-4.640312612805268,-4.6218826331245575,-4.586131025339737
-4.7398545948918205,-4.748936381733473,-4.739998672382079,-4.732932490308707,-4.719933048858435,-4.709279310679701,-4.706135676830196,-4.684210159244098,-4.665563950554663,-4.649183156431319,-4.637177400552087,-4.61876281240251,-4.58303687973747
-4.736625266220355,-4.745570919552398,-4.736641207432889,-4.729574746021133,-4.716558163849348,-4.705918980822796,-4.702818552007737,-4.68089011063653,-4.662237058250238,-4.645921541092309,-4.6339568072142265,-4.615558208794294,-4.57985858037109
-4.733305856278549,-4.742114987748174,-4.73319424214277,-4.726126052862485,-4.71309444942781,-4.702469355146487,-4.69941190619325,-4.677480958546342,-4.658821162761557,-4.642571932211659,-4.63064833713265,-4.6122664531259385,-4.576593951403517
-4.72989375721362,-4.738566325468718,-4.72965559608969,-4.722584045888496,-4.7095399501760395,-4.69892856704902,-4.6959134961889175,-4.6739805748928696,-4.655314100065426,-4.639131796933278,-4.627249494648322,-4.608885176223477,-4.573240816997668
-4.726386361172794,-4.734922674622986,-4.7260230888516235,-4.718946360154896,-4.705892654817941,-4.695294749928638,-4.692321078796923,-4.670386831595454,-4.651713706138645,-4.635598602401077,-4.6237577841022075,-4.605412008912939,-4.5697970013164655
-4.722781060303286,-4.731181850891991,-4.72229454000654,-4.715210630717419,-4.702150311405154,-4.691566037183583,-4.68863241081945,-4.666697600573429,-4.648017816958018,-4.631969815758965,-4.620170709835272,-4.601844582020356,-4.566260328522825
-4.719075246752322,-4.727341749928806,-4.718467769132411,-4.711374492631795,-4.698310603184088,-4.687740562212098,-4.684845249058683,-4.662910753746133,-4.6442242685003485,-4.628242904150848,-4.6164857761884805,-4.59818052637176,-4.562628622779667
-4.7152663126671195,-4.72340027139008,-4.714540595807209,-4.70743560131949,-4.69437121340023,-4.683816458412428,-4.680957350316804,-4.6590241630329,-4.640330896742441,-4.624415334720637,-4.612700487502797,-4.594417472793179,-4.558899708249911
-4.7113516501949,-4.719355314932462,-4.710510839608907,-4.703392063392431,-4.690329825299078,-4.679791859182817,-4.676966471395996,-4.65503570035307,-4.636335537661097,-4.62048457461224,-4.608812348119187,-4.590553052110649,-4.555071409096475
-4.7073286867689585,-4.715204780212598,-4.706376320115474,-4.699242427287999,-4.686184122126119,-4.675664897921504,-4.6728703690984466,-4.650943237625978,-4.632236027233118,-4.616448090969565,-4.6048188623786155,-4.586584895150198,-4.551141549482278
-4.70319552236132,-4.710946566887137,-4.702134856904882,-4.69498525993605,-4.681931787126845,-4.6714337080267345,-4.668666800226334,-4.646744646770961,-4.628030201435311,-4.612303350936523,-4.600717534622048,-4.582510632737858,-4.547107953570238
-4.698950860258226,-4.706578574612728,-4.697784269555105,-4.690619128266444,-4.677570503546749,-4.667096422896754,-4.664353521581842,-4.642437799707355,-4.623715896244477,-4.608047821657021,-4.596505869190448,-4.578327895699659,-4.542968445523277
-4.694593425135859,-4.70209870304602,-4.693322377644111,-4.686142599209034,-4.67309795463132,-4.662651175929802,-4.659928289967157,-4.638020568354499,-4.619290947637418,-4.603678970274968,-4.592181370424781,-4.574034314861634,-4.53872084950431
-4.690121941670406,-4.697504851843659,-4.688747000749874,-4.6815542396936785,-4.668511823626055,-4.658096100524125,-4.655388862184459,-4.6334908246317275,-4.614753191590939,-4.599194263934274,-4.587741542666012,-4.569627521049813,-4.534362989676258
-4.685535134538048,-4.692794920662294,-4.684055958450365,-4.676852616650232,-4.663809793776441,-4.653429330077962,-4.650732995035933,-4.628846440458378,-4.610100464081842,-4.594591169778846,-4.583183890255107,-4.565105145090227,-4.52989269020204
-4.680831728414976,-4.687966809158573,-4.679247070323555,-4.672036297008556,-4.658989548327971,-4.648648997989562,-4.645958445323764,-4.624085287753787,-4.6053306010869335,-4.589867154952596,-4.57850591753303,-4.560464817808907,-4.525307775244574
-4.676010447977369,-4.683018416989149,-4.674318155947416,-4.667103847698502,-4.654048770526136,-4.643753237657163,-4.641062969850133,-4.619205238437293,-4.600441438583011,-4.585019686599429,-4.573705128840745,-4.555704170031886,-4.52060606896678
-4.671070017901414,-4.677947643810662,-4.669267034899919,-4.66205383564993,-4.648985143616427,-4.638740182479012,-4.636044325417224,-4.614204164428229,-4.595430812546881,-4.580046231863255,-4.568779028519218,-4.550820832585192,-4.515785395531575
-4.666009162863294,-4.672752389279766,-4.664091526759036,-4.656884827792696,-4.643796350844339,-4.633607965853349,-4.6309002688272205,-4.609079937645936,-4.5902965589553455,-4.574944257887983,-4.563725120909414,-4.5458124362948595,-4.510843579101881
-4.660826607539197,-4.667430553053107,-4.65878945110274,-4.651595391056656,-4.638480185423751,-4.628354721178418,-4.6256285873253296,-4.603830430009749,-4.585036529961044,-4.569711402670114,-4.55854091529521,-4.540676611986917,-4.505778443840613
-4.6555210766053055,-4.6619800347873355,-4.653358645383129,-4.6461840923716675,-4.633036356328632,-4.622978763367695,-4.62022817932535,-4.598453533159089,-4.5796493840299375,-4.564346981316413,-4.553224628610599,-4.535410990487396,-4.5005878242709
-4.650091294737805,-4.656398734139097,-4.6477983610090305,-4.640649499693516,-4.627466199050001,-4.617479375249419,-4.614699346199117,-4.592948042274362,-4.574134943145585,-4.5588512602437605,-4.547775915414721,-4.530013202622329,-4.495269610160788
-4.644535986612879,-4.650685008951975,-4.6421102638627,-4.634990809804165,-4.621771100712432,-4.611856160980447,-4.609042479115802,-4.587314012261934,-4.568493119933907,-4.553224516766254,-4.54219460462639,-4.524480879217746,-4.489821709618561
-4.638853902648895,-4.644841158977333,-4.63629625594497,-4.629208916546669,-4.615952448440502,-4.606108724930073,-4.603257969244565,-4.581551591460739,-4.562723827020827,-4.547467028197998,-4.5364805251644285,-4.518811651099825,-4.4842420307646185
-4.633044660541917,-4.6388714942884,-4.630358239256666,-4.62330499719549,-4.610011629358783,-4.6002366714675915,-4.597346207754575,-4.575660928209707,-4.556826977032267,-4.541579071853095,-4.530633505947654,-4.513003543799522,-4.478528481719366
-4.627108932969992,-4.632780341004022,-4.624298115798617,-4.617280229025102,-4.603950030591852,-4.594239604962297,-4.591307585814999,-4.569642170847767,-4.550802482594146,-4.535560925045643,-4.524653375894885,-4.507056127779925,-4.472678970603205
-4.621047456346501,-4.626572025243044,-4.618117787571652,-4.611135789309972,-4.597769039264284,-4.588117129783488,-4.585142494595,-4.563495467713854,-4.544650256332392,-4.529412865089745,-4.518539963924938,-4.5009693514464635,-4.466691405536539
-4.6148609670848195,-4.620250873124311,-4.611819156576597,-4.604872855324569,-4.591470042500651,-4.581868850300456,-4.578851325263748,-4.5572209671468915,-4.538370210872921,-4.523135169299506,-4.5122930989566346,-4.494743163204571,-4.4605636946397755
-4.608550201598327,-4.613821210757687,-4.6054041248142825,-4.598492604343362,-4.585054427425529,-4.575494370882498,-4.572434468990407,-4.550818817485818,-4.531962258841659,-4.5167281149890215,-4.505912609908791,-4.488377511459676,-4.454293746033314
-4.602115896300405,-4.607286408632694,-4.598874594285537,-4.591996213640818,-4.578523581163497,-4.568993295898911,-4.565892316944141,-4.544289167069557,-4.525426312864528,-4.510191979472398,-4.499398325700227,-4.481872344617212,-4.447879467837558
-4.595558787604431,-4.600646254038667,-4.592232466991185,-4.585384860491407,-4.571878890839123,-4.562365229718986,-4.55922526029412,-4.537632164237046,-4.518762285567447,-4.5035270400637355,-4.492750075249761,-4.47522761108261,-4.441318768172913
-4.588879611923784,-4.593899694584602,-4.585479644932061,-4.578659722169598,-4.565121743576986,-4.555609776712022,-4.552433690209509,-4.530847957327209,-4.511970089576342,-4.496733574077136,-4.485967687476213,-4.468443259261299,-4.43460955515978
-4.582079105671843,-4.5870456778795,-4.578618030108986,-4.571821975949859,-4.558253518400621,-4.548726541247312,-4.545517997859471,-4.523936694678982,-4.505049637517132,-4.4898118588267,-4.479050991298399,-4.461519237558713,-4.427749736918565
-4.575158005261988,-4.580083151532356,-4.571649499026233,-4.564872799106658,-4.551273878083272,-4.541715127694152,-4.538478574413177,-4.5168985246312925,-4.49800084201574,-4.482762171626528,-4.471999815635138,-4.45445549438028,-4.420737312440014
-4.568117047107594,-4.573011062883849,-4.564572454431619,-4.55781332748451,-4.544178656791549,-4.534575140421838,-4.53131581103979,-4.509733595523072,-4.49082361569809,-4.475584789790727,-4.4648139894052505,-4.447251978131437,-4.413574026810836
-4.560956967622045,-4.565825708331606,-4.5573783326580815,-4.5506407911821345,-4.536963170745503,-4.527306183799664,-4.524030098908477,-4.502442055693252,-4.483517871190102,-4.468279990633393,-4.457493341527552,-4.439908637217609,-4.40626661868271
-4.553675521747973,-4.558514223235813,-4.550057738078839,-4.543345367493183,-4.529622736165187,-4.519907862196924,-4.516621829188403,-4.495024053480762,-4.4760835211176975,-4.460848051468628,-4.450037700920864,-4.43242542004423,-4.398822173551067
-4.5462502015826125,-4.551061765446699,-4.542601275067109,-4.5359164930998075,-4.522152669270653,-4.512379779982917,-4.509091393048735,-4.487479737224535,-4.468520478106799,-4.4532892496105365,-4.442446896504003,-4.424802275016733,-4.391247776911338
-4.538650067215023,-4.543453492814488,-4.534999547996112,-4.5283436046841565,-4.514548286281953,-4.504721541526934,-4.50143918165864,-4.4798092552635,-4.460828654783331,-4.445603862373219,-4.434720757195789,-4.417039150540544,-4.383550514258953
-4.530844151058291,-4.535674563189408,-4.527243161239069,-4.520616138928381,-4.506804903419141,-4.4969327511982735,-4.493665586187282,-4.472012755936586,-4.453007963773214,-4.437792167070776,-4.426859111915039,-4.409135995021098,-4.375737471089345
