,Cell,b1,b2,b3
0,G10C1,0.012853045304709496,715.9830261389972,10.031358412294988
1,G10C2,0.010558078385589928,1015.9142057730731,19.085375140508297
2,G10C3,0.010529419856770129,336.564011657336,33.05270982520838
3,G10C4,0.008140904683483998,1999.9999999880429,470.852310792922
4,G12C1,0.012209131576727997,819.2688419947352,13.742855554464699
5,G12C3,0.010806492738465375,342.08947543922886,12.816182731226167
6,G12C4,0.009950303597736928,419.16589847290567,12.476993336770201
7,G13C1,0.018321811300917073,1707.9720501569589,499.99999998801934
8,G13C2,0.007936120955819326,1623.5084089506668,499.9999999331044
9,G13C3,0.010063357360413513,1752.2413410949177,499.99999998604244
10,G13C4,0.012292163038118805,1844.1988037975827,499.99999999473005
11,G16C1,0.0016141263187876046,358.87155997936173,80.235779549791
12,G16C2,0.001983248442848661,431.2680066237843,94.51160177769371
13,G16C3,0.0026609716057759986,391.3032676667905,89.53032806149363
14,G16C4,0.001804855413254742,394.7348950628529,91.1741370460483
15,G17C1,0.006285908655009895,445.44317251099164,40.32833030864684
16,G17C2,0.005923496700682654,540.3684207957479,68.25675435853591
17,G17C3,0.005796451400927383,610.9382197361846,85.61542349140663
18,G17C4,0.005120814331700062,480.80260337844624,75.64789682966745
19,G18C1,0.006170142661473087,1999.999999989878,455.6703936906115
20,G18C2,0.008182550808090073,478.34312890653166,38.67524222245035
21,G18C3,0.006875443960035788,505.6823870443367,66.04032553226904
22,G18C4,0.008319573022961222,463.65615292406443,60.99091715419556
23,G19C3,0.00942742360955602,1623.7067518989659,499.99999988374077
24,G1C1,0.0025174215917834076,1036.9788111495013,172.60145168089068
25,G1C2,0.0024372238532165548,1202.8207974657662,242.40307960199289
26,G1C3,0.003027050705144677,1320.5188488592376,264.01475724263264
27,G1C4,0.002232071042398777,614.4322122568778,94.36914054511062
28,G20C3,0.007650601890512686,310.7584771103137,65.9288922978701
29,G20C4,0.004656214636130863,428.40160034388174,92.08590422151796
30,G21C1,0.006477356030906178,332.4471002091725,58.80450775206231
31,G21C2,0.005641634615253747,522.8152881708878,103.57972810257824
32,G21C3,0.00542880998051835,427.98008766482724,83.13078930807892
33,G21C4,0.004866549937936131,382.22718026085244,72.92852000082131
34,G22C1,0.005165344561276124,327.4382106808241,49.32305474792848
35,G22C3,0.00665202193276238,336.2765542588743,62.10723998669698
36,G23C1,0.009219285786543555,343.0113437217227,62.0934550402174
37,G23C2,0.011229384150204108,287.07722912808475,20.034310397668904
38,G23C4,0.005744539598342692,434.6299790695786,104.9485372194173
39,G24C1,0.009637839430822857,673.6396762679099,166.20032861594828
40,G24C2,0.010778192366357254,713.9661625565617,139.37743655633074
41,G25C1,0.005329156217906975,406.9806261985928,76.81048205917052
42,G25C2,0.0036588889648716577,430.78005678331647,82.92460373266918
43,G25C3,0.008467259863694225,418.8096795883722,44.83015287740529
44,G25C4,0.008528159880387388,702.7280777283787,45.03636033488384
45,G26C1,0.00510030192484804,406.47311059555324,29.56905003802435
46,G26C2,0.004065218320301923,879.6448102226493,164.56288548179867
47,G26C3,0.0031294382754867467,1219.5111085229153,210.65913349116536
48,G26C4,0.0036756657507462966,656.3796366969294,102.6705381238637
49,G27C1,0.006955105920989739,640.8030875393539,104.10488045936384
50,G27C2,0.006749123043624695,600.2727085671825,111.62821076408366
51,G27C3,0.007238879173840934,426.7354766368269,83.43820000329713
52,G27C4,0.005149867225138641,440.1962223119821,69.23896380041879
53,G28C2,0.007489626403677799,641.1909097176487,162.1090116715131
54,G28C3,0.007647094168611498,1529.900993400077,499.9999997609215
55,G29C1,0.0059386409231610825,512.7899880022219,76.1420619414835
56,G29C2,0.007267843430523397,1024.6883509508084,121.86804468683093
57,G29C3,0.007200507707698415,976.3590579731672,148.00840090031085
58,G29C4,0.005726742174362256,659.3401760726668,102.41973980966047
59,G2C1,0.0033368380253049243,553.0241603899262,109.17029839486851
60,G2C2,0.004279711592338402,572.6515054615827,129.30957218405874
61,G2C3,0.004775867682142787,708.8535392162106,141.46185867128213
62,G2C4,0.004294722498300149,633.2420072209964,127.91681219449022
63,G30C1,0.004383753130822846,345.75420896394667,61.79633315386033
64,G30C2,0.005427707146736882,521.6966587287561,95.30808047717271
65,G30C3,0.004595198390278393,628.762871304169,115.46388160384643
66,G30C4,0.005040397023973657,376.164111028562,67.48340871056465
67,G31C1,0.006287298904785721,581.7829307924138,98.74260663810144
68,G31C2,0.0053665419627300474,390.22506800205116,47.74102854647234
69,G31C3,0.006203730326316703,529.4672249716637,86.91558047252778
70,G31C4,0.005498184182155026,351.89059309041824,36.89860940917336
71,G32C1,0.004928522945379639,665.0362177937222,65.06808867449266
72,G32C2,0.005074744947007752,672.1919689361785,109.83841158072585
73,G32C3,0.005033524403659767,671.1369868136826,90.5120774028393
74,G32C4,0.005487024849902699,874.2845231442572,150.24460137715943
75,G33C1,0.006081503892692613,776.6413418211168,96.14386984055544
76,G33C2,0.0069105985079109785,664.1484121969813,77.32081781703624
77,G33C3,0.004620205957677167,880.9825431303087,111.5942797867748
78,G33C4,0.00433568534930368,748.7336827040796,119.82687030494452
79,G34C1,0.005013690741081853,1082.239012860659,143.0774963343872
80,G34C2,0.005043228615384088,856.1144975770011,92.04554663974002
81,G34C3,0.005428802864187225,742.7464815203161,95.12857164644825
82,G34C4,0.005312361865375344,819.7269119388407,93.99599501616878
83,G35C1,0.0032509762475917228,520.6438400568642,141.97563737142556
84,G35C3,0.009179052901388908,1871.944529051926,499.99999987344734
85,G35C4,0.009789531340098676,1856.6414638100168,499.99997188124433
86,G36C1,0.008600730681226408,455.9495103043937,70.5166956988463
87,G36C2,0.008768722864276202,1949.709625916716,499.99999965775555
88,G36C3,0.008541709702273163,1686.963835730107,499.9999999756687
89,G37C1,0.003915482786350127,487.81662349724263,100.03346698226993
90,G37C2,0.002644390485207218,495.04849218022696,104.66135441982594
91,G37C3,0.0029547540384761107,457.33765980129095,94.6943688983897
92,G37C4,0.0031316625101976987,326.5713389331428,47.802434534003446
93,G38C1,0.012135309745005624,1711.484450788714,499.99999992834233
94,G38C3,0.004007172433285445,444.3017971874504,80.37692135197446
95,G38C4,0.007048771386933281,768.1985739242898,204.293790669976
96,G39C1,0.007150955106667804,294.8841269700781,28.502196486765953
97,G39C2,0.006286364829051786,306.32792811967914,29.74712015800704
