,Cell,b1,b2,b3
0,G10C1,0.012854694911713285,715.9830261389972,10.031358412294988
1,G10C2,0.010559546046899742,1015.9142057730731,19.085375140508297
2,G10C3,0.010530500473868672,336.5841023166747,33.0605491994353
3,G10C4,0.008140904683483998,1999.9999999880429,470.852310792922
4,G16C1,0.0016142151076520609,358.87089184008846,80.23616324375962
5,G16C2,0.0019831425860257395,431.26885544754236,94.51483347237232
6,G16C3,0.0026613583849176246,391.3003495567241,89.52874523723604
7,G16C4,0.001804593573260494,394.735211966311,91.17754943959662
8,G19C3,0.00942742360955602,1623.7067518989659,499.99999988374077
9,G20C3,0.007651042710273208,310.7554123744233,65.93017556588522
10,G20C4,0.004656632662147527,428.3980371410152,92.08574821197811
11,G22C1,0.005165719412188228,327.44202316258816,49.32605192837466
12,G22C3,0.006652692795972018,336.2741070750772,62.10733136994832
13,G23C1,0.00922026294880283,343.00421861349344,62.092239222237446
14,G23C2,0.011230674610544089,287.0880781245942,20.038257338049977
15,G23C4,0.005745536709918811,434.6226082689214,104.94373706277982
16,G25C1,0.0053296506034887225,406.9793669480152,76.81155518762361
17,G25C2,0.0036591538725768654,430.7802840540065,82.92645812934809
18,G25C3,0.008468206804855232,418.81928342754503,44.83506524218952
19,G25C4,0.008529359217946411,702.7384667024827,45.04329090449327
20,G27C1,0.0069557320092761415,640.8122431898695,104.11388539523018
21,G27C2,0.006749746524007759,600.2678401078614,111.63108382662735
22,G27C3,0.007239550750309589,426.7301423458131,83.43858882021897
23,G27C4,0.005150297405641447,440.20061522269924,69.24285993974283
24,G28C2,0.007490731528398358,641.1649589057607,162.09842070573606
25,G28C3,0.007647094168611498,1529.900993400077,499.9999997609215
26,G2C1,0.0033372837065048316,553.0199585190467,109.16886745453144
27,G2C2,0.00427987475736121,572.6467098971152,129.31275695342595
28,G2C3,0.004776396186252114,708.844719914294,141.46071749715315
29,G2C4,0.004295191576310631,633.2365898412238,127.91672012176446
30,G30C1,0.004384087806396768,345.7548225745319,61.79788706924972
31,G30C2,0.00542826514708686,521.6934161314924,95.30898602597372
32,G30C3,0.004595459445331703,628.7698414467995,115.47211863948331
33,G30C4,0.0050407628383426235,376.1653934669915,67.48580149270771
34,G31C1,0.006288013273393549,581.7765350287841,98.74275979258192
35,G31C2,0.0053670851291358545,390.229042851809,47.74375170224293
36,G31C3,0.006204251460644287,529.4740804098612,86.92192738958593
37,G31C4,0.005498756434282333,351.89454974755995,36.901002537290466
38,G35C1,0.0032516179147598304,520.6437110938964,141.97365774651044
39,G35C3,0.009179052901388908,1871.944529051926,499.99999987344734
40,G35C4,0.009789532433607754,1856.6413137584993,499.9999908028783
41,G36C1,0.008601597267194113,455.9481191943354,70.5192856661676
42,G36C2,0.008768722864276202,1949.709625916716,499.99999965775555
43,G36C3,0.008541709702273163,1686.963835730107,499.9999999756687
44,G38C1,0.012135309745005624,1711.484450788714,499.99999992834233
45,G38C3,0.004007495558823276,444.30263862018813,80.37906798958626
46,G38C4,0.007049776044782509,768.1649219239401,204.28102387939305
47,G3C1,0.005394462682708834,841.504770210115,159.4518858117999
48,G3C2,0.006850550097952325,499.5613517212906,96.49233495774108
49,G3C3,0.004267819757568244,625.3568617570398,137.8876781385152
50,G3C4,0.0037635704811152877,445.1732408510673,99.75553860946675
51,G41C1,0.006430948280078449,1602.7787488557954,405.4070355360093
52,G41C2,0.006838237030470803,1743.345099271491,499.9999999980268
53,G41C3,0.006244633406729187,1815.5717328712562,499.99999958765727
54,G41C4,0.006618021163271653,1885.9855860971952,499.9999994844602
55,G45C4,0.00605321518386999,517.646592152168,82.61600263270418
56,G47C1,0.009203381193586303,577.0848898578802,73.8019616678258
57,G47C2,0.007005982942782929,754.1263466272995,77.82388352484118
58,G47C3,0.005132950520073189,623.8290167822851,93.16134268401363
59,G47C4,0.005558714367378867,560.6413774904898,90.28578811320637
60,G48C1,0.009076610588447394,435.7185876427024,28.929395322819715
61,G48C3,0.006410764097136047,758.3939361551713,121.6215072436096
62,G4C1,0.004449575155958434,832.5171823353436,159.94447627515584
63,G4C2,0.004250617507131662,812.8276998806092,150.91968167930537
64,G4C3,0.004355109851112539,882.0801878371255,150.94615949648232
65,G4C4,0.004221356809257173,697.2768428403479,131.92655340775522
66,G51C1,0.008935754444281484,454.86481656104036,41.24760566656461
67,G51C2,0.00642501802511375,623.2632818559592,81.58198009372794
68,G51C3,0.006393004425673828,538.4118946312794,67.09831260764284
69,G51C4,0.005856524403501534,580.8977241205358,69.9799529976431
70,G52C1,0.0041853653476252705,630.9348370996465,124.1997940188452
71,G52C2,0.004083754978163697,513.2421403481524,103.9274660684584
72,G52C3,0.007257960555401085,494.48010747771747,42.04826089748209
73,G52C4,0.005352167846232659,908.53501036878,195.70893994837078
74,G53C4,0.007489314183226943,1261.7723251102025,340.18499791505656
75,G55C1,0.005428534296118946,577.8975071363539,78.22391947777493
76,G55C2,0.005963283001256817,596.9343525110418,74.88713192344385
77,G55C3,0.008240408674470328,730.9526569710432,107.31249341611837
78,G55C4,0.005793078301191269,563.2072466246498,87.62219574018745
79,G5C1,0.003367547243103741,391.758200393292,69.26328308347517
80,G5C2,0.003540824824876813,418.96737927308624,79.42596017167709
81,G5C3,0.0038627395199656448,512.3565360437635,108.10406104889645
82,G60C1,0.004703530614685939,481.87354973837597,88.30841208067483
83,G60C2,0.004933704839844006,427.663954841169,88.24347339127105
84,G60C4,0.004526331226649186,363.8196684520191,66.96748088844492
85,G62C1,0.008400240328751068,821.2502655784424,110.61036118033054
